ATC-Bedeutung;ATC-Bedeutung_cleaned
Clonidin und Diuretika, Kombinationen mit anderen Mitteln;clonidin diuretika kombinationen mit anderen mitteln
Clopamid;clopamid
Clopamid und Kalium;clopamid kalium
Clopenthixol;clopenthixol
Cloperastin;cloperastin
Clopidogrel;clopidogrel
Clopidogrel und Acetylsalicylsäure;clopidogrel acetylsalicylsaeure
Cloprednol;cloprednol
Cloranolol;cloranolol
Clorexolon;clorexolon
Clorexolon, Kombinationen mit Psycholeptika;clorexolon kombinationen mit psycholeptika
Cloricromen;cloricromen
Cloridarol;cloridarol
Clorindion;clorindion
Clostebol;clostebol
Clotiapin;clotiapin
Clotiazepam;clotiazepam
Clotrimazol;clotrimazol
Clotrimazol, Kombinationen;clotrimazol kombinationen
Cloxacillin;cloxacillin
Cloxazolam;cloxazolam
Cloxiquin;cloxiquin
Cloxiquin, Kombinationen;cloxiquin kombinationen
Clozapin;clozapin
(57Co)Cobaltcyanocobalamin;co cobaltcyanocobalamin
(58Co)Cobaltcyanocobalamin;co cobaltcyanocobalamin
Cobamamid;cobamamid
Cobicistat;cobicistat
Cobimetinib;cobimetinib
Coblopasvir;coblopasvir
Cocain;cocain
Codein;codein
Codein, Kombinationen;codein kombinationen
Codein, Kombinationen exkl. Psycholeptika;codein kombinationen exkl psycholeptika
Codein, Kombinationen mit Psycholeptika;codein kombinationen mit psycholeptika
Codein und Acetylsalicylsäure;codein acetylsalicylsaeure
Codein und andere nichtopioide Analgetika;codein andere nichtopioide analgetika
Codein und Diclofenac;codein diclofenac
Codein und Ibuprofen;codein ibuprofen
Codein und Paracetamol;codein paracetamol
Coffein;coffein
Coffein, Kombinationen exkl. Psycholeptika;coffein kombinationen exkl psycholeptika
Coffein und Natriumbenzoat;coffein natriumbenzoat
Coffein und Sympathomimetika;coffein sympathomimetika
Colchicin;colchicin
Colchicin und Probenecid;colchicin probenecid
Colchicum;colchicum
Colecalciferol;colecalciferol
Colecalciferol, Kombinationen;colecalciferol kombinationen
Colecalciferol, Kombinationen mit Natriumfluorid;colecalciferol kombinationen mit natriumfluorid
Colesevelam;colesevelam
Colestilan;colestilan
Colestipol;colestipol
Colestyramin;colestyramin
Colextran;colextran
Colfoscerilpalmitat;colfoscerilpalmitat
Colistin;colistin
Concizumab;concizumab
Conestat alfa;conestat alfa
Conivaptan;conivaptan
Copalchirindenextrakt;copalchirindenextrakt
Copanlisib;copanlisib
Corifollitropin alfa;corifollitropin alfa
Corticoliberin;corticoliberin
Corticotropin;corticotropin
Cortison;cortison
Cortivazol;cortivazol
Covid-19, inaktiviertes Virus;covid inaktiviertes virus
Covid-19, Proteinuntereinheit;covid proteinuntereinheit
Covid-19, RNA-basierter Impfstoff;covid rna basierter impfstoff
Covid-19, viraler Vektor, nicht replizierend;covid viraler vektor nicht replizierend
Covid-19, virusähnliche Partikel;covid virusaehnliche partikel
Crataegus;crataegus
Creatinolfosfat;creatinolfosfat
Cridanimod;cridanimod
Crilanomer;crilanomer
Crisaborol;crisaborol
Crizanlizumab;crizanlizumab
Crizotinib;crizotinib
Croconazol;croconazol
Crofelemer;crofelemer
Cromoglicinsäure;cromoglicinsaeure
Cromoglicinsäure, Kombinationen;cromoglicinsaeure kombinationen
Crospovidon;crospovidon
Crotamiton;crotamiton
Crotylbarbital;crotylbarbital
Crovalimab;crovalimab
CTX-Testzone;ctx testzone
Cumarin;cumarin
Cuprum aceticum;cuprum aceticum
Curcumawurzelstock;curcumawurzelstock
Cyamemazin;cyamemazin
Cyanacrylsäurealkylester;cyanacrylsaeurealkylester
Cyanocobalamin;cyanocobalamin
Cyanocobalamin, Kombinationen;cyanocobalamin kombinationen
Cyanocobalamin-Tannin-Komplex;cyanocobalamin tannin komplex
Cyclandelat;cyclandelat
Cyclizin;cyclizin
Cyclizin, Kombinationen;cyclizin kombinationen
Cyclobarbital;cyclobarbital
Cyclobenzaprin;cyclobenzaprin
Cyclobutyrol;cyclobutyrol
Cyclodrin;cyclodrin
Cyclofenil;cyclofenil
Cycloguanilembonat;cycloguanilembonat
Cyclopentamin;cyclopentamin
Cyclopenthiazid;cyclopenthiazid
Cyclopenthiazid und Kalium;cyclopenthiazid kalium
Cyclopenthiazid und Kalium sparende Mittel;cyclopenthiazid kalium sparende mittel
Cyclopentolat;cyclopentolat
Cyclopentolat, Kombinationen;cyclopentolat kombinationen
Cyclophosphamid;cyclophosphamid
Cycloserin;cycloserin
Cyclothiazid;cyclothiazid
Cyclothiazid und Kalium;cyclothiazid kalium
Cyfluthrin;cyfluthrin
Cymarin;cymarin
Cypermethrin;cypermethrin
Cyproheptadin;cyproheptadin
Cyproheptadin, Kombinationen;cyproheptadin kombinationen
Cyproteron;cyproteron
Cyproteron und Estrogen;cyproteron estrogen
Cytarabin;cytarabin
Cytarabin und Daunorubicin;cytarabin daunorubicin
Cytidin;cytidin
Cytisiniclin;cytisiniclin
Cytomegalievirus-Immunglobulin;cytomegalievirus immunglobulin
C1-Inhibitor, aus Plasma gewonnen;c inhibitor aus plasma gewonnen
Dabigatranetexilat;dabigatranetexilat
Dabrafenib;dabrafenib
Dacarbazin;dacarbazin
Daclatasvir;daclatasvir
Daclatasvir, Asunaprevir und Beclabuvir;daclatasvir asunaprevir beclabuvir
Daclizumab;daclizumab
Dacomitinib;dacomitinib
Dactinomycin;dactinomycin
Dalbavancin;dalbavancin
Dalteparin;dalteparin
Damoctocog alfa pegol;damoctocog alfa pegol
Danaparoid;danaparoid
Danazol;danazol
Danicopan;danicopan
Dantrolen;dantrolen
Dantron;dantron
Dantron, inkl. Kombinationen;dantron inkl kombinationen
Dantron, Kombinationen;dantron kombinationen
Dapagliflozin;dapagliflozin
Dapiprazol;dapiprazol
Dapivirin;dapivirin
Dapoxetin;dapoxetin
Daprodustat;daprodustat
Dapson;dapson
Dapson, Rifampicin und Clofazimin;dapson rifampicin clofazimin
Dapson und Rifampicin;dapson rifampicin
Daptomycin;daptomycin
Daratumumab;daratumumab
Darbepoetin alfa;darbepoetin alfa
Daridorexant;daridorexant
Darifenacin;darifenacin
Darolutamid;darolutamid
Darunavir;darunavir
Darunavir und Cobicistat;darunavir cobicistat
Darunavir und Ritonavir;darunavir ritonavir
Darvadstrocel;darvadstrocel
Dasabuvir;dasabuvir
Dasabuvir, Ombitasvir, Paritaprevir und Ritonavir;dasabuvir ombitasvir paritaprevir ritonavir
Dasatinib;dasatinib
Dasiglucagon;dasiglucagon
Dasiprotimut-T;dasiprotimut t
Daunorubicin;daunorubicin
Deanol;deanol
Deanol, Kombinationen;deanol kombinationen
Debrisoquin;debrisoquin
Decamethoxin;decamethoxin
Decamethrin;decamethrin
Decitabin;decitabin
Decitabin, Kombinationen;decitabin kombinationen
Decitabin und Cedazuridin;decitabin cedazuridin
Deferasirox;deferasirox
Deferipron;deferipron
Deferoxamin;deferoxamin
Defibrotid;defibrotid
Deflazacort;deflazacort
Degarelix;degarelix
Dehydrocholsäure;dehydrocholsaeure
Dehydrocholsäure, Kombinationen;dehydrocholsaeure kombinationen
Dehydroemetin;dehydroemetin
Delafloxacin;delafloxacin
Delamanid;delamanid
Delandistrogen moxeparvovec;delandistrogen moxeparvovec
Delapril;delapril
Delapril und Diuretika;delapril diuretika
Delapril und Manidipin;delapril manidipin
Delavirdin;delavirdin
Delgocitinib;delgocitinib
Demecarium;demecarium
Demeclocyclin;demeclocyclin
Demeclocyclin, Kombinationen;demeclocyclin kombinationen
Demecolcin;demecolcin
Demegeston;demegeston
Demoxytocin;demoxytocin
Denaverin;denaverin
Dengue-Impfstoffe;dengue impfstoffe
Denileukindiftitox;denileukindiftitox
Denosumab;denosumab
Deptropin;deptropin
Dequalinium;dequalinium
Dequalinium, Kombinationen;dequalinium kombinationen
Desaspidin;desaspidin
Deserpidin;deserpidin
Deserpidin und Diuretika;deserpidin diuretika
Desfesoterodin;desfesoterodin
Desfluran;desfluran
Desipramin;desipramin
Desirudin;desirudin
Deslanosid;deslanosid
Desloratadin;desloratadin
Desmopressin;desmopressin
Desogestrel;desogestrel
Desogestrel und Estrogen;desogestrel estrogen
Desogestrel und Ethinylestradiol;desogestrel ethinylestradiol
Desonid;desonid
Desonid und Antiseptika;desonid antiseptika
Desoximetason;desoximetason
7-Desoxycholsäure;desoxycholsaeure
Desoxycorton;desoxycorton
Desoxycorton, Kombinationen;desoxycorton kombinationen
Desoxyribonuclease;desoxyribonuclease
Desoxyribonuclease, Kombinationen;desoxyribonuclease kombinationen
Desvenlafaxin;desvenlafaxin
Detajmium;detajmium
Deucravacitinib;deucravacitinib
Deutetrabenazin;deutetrabenazin
Dexamethason;dexamethason
Dexamethason, Kombinationen;dexamethason kombinationen
Dexamethason, Neomycin und Polymyxin B;dexamethason neomycin polymyxin b
Dexamethason und Antibiotika;dexamethason antibiotika
Dexamethason und Antiinfektiva;dexamethason antiinfektiva
Dexamethason und Antiseptika;dexamethason antiseptika
Dexamethason und Ciprofloxacin;dexamethason ciprofloxacin
Dexamethason und Gentamicin;dexamethason gentamicin
Dexamethason und Levofloxacin;dexamethason levofloxacin
Dexamethason und Mydriatika;dexamethason mydriatika
Dexamethason und Neomycin;dexamethason neomycin
Dexamethason und Netilmicin;dexamethason netilmicin
Dexamethason und Oxytetracyclin;dexamethason oxytetracyclin
Dexamethason und Tobramycin;dexamethason tobramycin
Dexamfetamin;dexamfetamin
Dexbrompheniramin;dexbrompheniramin
Dexbrompheniramin, Kombinationen;dexbrompheniramin kombinationen
Dexchlorpheniramin;dexchlorpheniramin
Dexchlorpheniramin, Kombinationen;dexchlorpheniramin kombinationen
Dexetimid;dexetimid
Dexfenfluramin;dexfenfluramin
Dexibuprofen;dexibuprofen
Dexketoprofen;dexketoprofen
Dexlansoprazol;dexlansoprazol
Dexmedetomidin;dexmedetomidin
Dexmethylphenidat;dexmethylphenidat
Dexmethylphenidat und Serdexmethylphenidat;dexmethylphenidat serdexmethylphenidat
Dexpanthenol;dexpanthenol
Dexpanthenol, Kombinationen;dexpanthenol kombinationen
Dexrabeprazol;dexrabeprazol
Dexrazoxan;dexrazoxan
Dextran;dextran
Dextran, Kombinationen;dextran kombinationen
Dextranomer;dextranomer
Dextromethorphan;dextromethorphan
Dextromethorphan, Kombinationen;dextromethorphan kombinationen
Dextromoramid;dextromoramid
Dextropropoxyphen;dextropropoxyphen
Dextropropoxyphen, Kombinationen exkl. Psycholeptika;dextropropoxyphen kombinationen exkl psycholeptika
Dextropropoxyphen, Kombinationen mit Psycholeptika;dextropropoxyphen kombinationen mit psycholeptika
Dextrothyroxin;dextrothyroxin
Dezocin;dezocin
Diacerein;diacerein
Diamorphin;diamorphin
Diastase;diastase
Diätetika ohne Phenylalanin, Kombinationen;diaetetika ohne phenylalanin kombinationen
Diazepam;diazepam
Diazoxid;diazoxid
Dibekacin;dibekacin
Dibenzepin;dibenzepin
Dibismut-tris(tetraoxodialuminat);dibismut tris tetraoxodialuminat
Dibotermin alfa;dibotermin alfa
Dibrompropamidin;dibrompropamidin
Dibromtyrosin;dibromtyrosin
Dibunat;dibunat
Dibutylphthalat;dibutylphthalat
Dibutylsuccinat;dibutylsuccinat
Dichloralphenazon;dichloralphenazon
Dichlorbenzylalkohol;dichlorbenzylalkohol
Dichlorchinolinol;dichlorchinolinol
Dichlorchinolinol, Kombinationen;dichlorchinolinol kombinationen
Dichlorophen;dichlorophen
Dichlorophen, Kombinationen;dichlorophen kombinationen
Dichte-Testzone;dichte testzone
Dickflüssiges Paraffin;dickfluessiges paraffin
Dickflüssiges Paraffin, Kombinationen;dickfluessiges paraffin kombinationen
Diclofenac;diclofenac
Diclofenac, Kombinationen;diclofenac kombinationen
Diclofenac und Antiinfektiva;diclofenac antiinfektiva
Diclofenac und Omeprazol;diclofenac omeprazol
Diclofenamid;diclofenamid
Dicloxacillin;dicloxacillin
Dicoumarol;dicoumarol
Dicycloverin;dicycloverin
Dicycloverin, Kombinationen;dicycloverin kombinationen
Didanosin;didanosin
Didecyldimethylammoniumchlorid;didecyldimethylammoniumchlorid
Dienestrol;dienestrol
Dienogest;dienogest
Dienogest und Estradiol;dienogest estradiol
Dienogest und Estrogen;dienogest estrogen
Dienogest und Ethinylestradiol;dienogest ethinylestradiol
Diethylaminsalicylat, Kombinationen;diethylaminsalicylat kombinationen
Diethylcarbamazin;diethylcarbamazin
Diethylether;diethylether
(2-Benzhydryloxyethyl)diethylmethylammoniumiodid;benzhydryloxyethyl diethylmethylammoniumiodid
Diethylstilbestrol;diethylstilbestrol
Diethyltoluamid;diethyltoluamid
Difelikefalin;difelikefalin
Difemerin;difemerin
Difenoxin;difenoxin
Difenoxin, Kombinationen;difenoxin kombinationen
Difenpiramid;difenpiramid
Difetarson;difetarson
Diflorason;diflorason
Diflucortolon;diflucortolon
Diflucortolon und Antiseptika;diflucortolon antiseptika
Diflunisal;diflunisal
Difluprednat;difluprednat
Digitalis-Antitoxin;digitalis antitoxin
Digitalisblätter;digitalisblaetter
Digitalisglykoside;digitalisglykoside
Digitalisglykoside und Aesculin;digitalisglykoside aesculin
Digitoxin;digitoxin
Digitoxin, Kombinationen;digitoxin kombinationen
Digoxin;digoxin
Digoxin, Kombinationen;digoxin kombinationen
Dihexyverin;dihexyverin
Dihydralazin;dihydralazin
Dihydralazin und Diuretika;dihydralazin diuretika
Dihydralazin und Diuretika, Kombinationen mit anderen Mitteln;dihydralazin diuretika kombinationen mit anderen mitteln
Dihydrochinidin;dihydrochinidin
Dihydrocodein;dihydrocodein
Dihydrocodein, Kombinationen;dihydrocodein kombinationen
Dihydrocodein und Acetylsalicylsäure;dihydrocodein acetylsalicylsaeure
Dihydrocodein und andere nichtopioide Analgetika;dihydrocodein andere nichtopioide analgetika
Dihydrocodein und Paracetamol;dihydrocodein paracetamol
Dihydroergocristin;dihydroergocristin
Dihydroergocristin, Kombinationen;dihydroergocristin kombinationen
Dihydroergocryptinmesilat;dihydroergocryptinmesilat
Dihydroergotamin;dihydroergotamin
Dihydroergotamin, Kombinationen;dihydroergotamin kombinationen
Dihydroergotamin, Kombinationen mit Psycholeptika;dihydroergotamin kombinationen mit psycholeptika
Dihydroergotaminmesilat;dihydroergotaminmesilat
Dihydroergotaminmesilat und Etilefrin;dihydroergotaminmesilat etilefrin
Dihydroergotoxin;dihydroergotoxin
Dihydroergotoxin, Kombinationen;dihydroergotoxin kombinationen
Dihydrostreptomycin;dihydrostreptomycin
Dihydrotachysterol;dihydrotachysterol
Dihydroxyaluminiumnatriumcarbonat (Carbaldrat);dihydroxyaluminiumnatriumcarbonat carbaldrat
Dihydroxyaluminiumnatriumcarbonat und Karminativa;dihydroxyaluminiumnatriumcarbonat karminativa
Diiodhydroxychinolin;diiodhydroxychinolin
Diiodhydroxypropan;diiodhydroxypropan
Diiodtyrosin;diiodtyrosin
Diisopromin;diisopromin
Diisopropylamin;diisopropylamin
Diisopropylamin, Kombinationen;diisopropylamin kombinationen
Dikaliumclorazepat;dikaliumclorazepat
Dilazep;dilazep
Diloxanid;diloxanid
Diltiazem;diltiazem
Dimazol;dimazol
Dimeflin;dimeflin
Dimemorfan;dimemorfan
Dimenhydrinat;dimenhydrinat
Dimenhydrinat, Kombinationen;dimenhydrinat kombinationen
Dimercaprol;dimercaprol
Dimetacrin;dimetacrin
Dimethoxanat;dimethoxanat
4-Dimethylaminophenol;dimethylaminophenol
Dimethylaminopropionylphenothiazin;dimethylaminopropionylphenothiazin
Dimethylcarbat;dimethylcarbat
Dimethylfumarat;dimethylfumarat
Dimethylphthalat;dimethylphthalat
Dimethylsulfoxid;dimethylsulfoxid
Dimethylsulfoxid, Kombinationen;dimethylsulfoxid kombinationen
Dimethyltubocurarin;dimethyltubocurarin
Dimeticon;dimeticon
Dimetinden;dimetinden
Dimetofrin;dimetofrin
Dimetotiazin;dimetotiazin
Dinatrium-1-glycerophosphat;dinatrium glycerophosphat
Dinoprost;dinoprost
Dinoproston;dinoproston
Dinutuximab beta;dinutuximab beta
Diodon;diodon
Diosmectit;diosmectit
Diosmectit, Kombinationen;diosmectit kombinationen
Diosmin;diosmin
Diosmin, Kombinationen;diosmin kombinationen
Dioxopromethazin;dioxopromethazin
Diphemanil;diphemanil
Diphemanil und Psycholeptika;diphemanil psycholeptika
Diphenadion;diphenadion
Diphenhydramin;diphenhydramin
Diphenhydramin, Kombinationen;diphenhydramin kombinationen
Diphenhydraminmethylbromid;diphenhydraminmethylbromid
Diphenoxylat;diphenoxylat
Diphenoxylat, Kombinationen;diphenoxylat kombinationen
Diphenylpyralin;diphenylpyralin
Diphenylpyralin, Kombinationen;diphenylpyralin kombinationen
Diphtherie-Antitoxin;diphtherie antitoxin
"Diphtherie-Haemophilus influenzae B-
Pertussis-Poliomyelitis-Tetanus";diphtherie haemophilus influenzae b pertussis poliomyelitis tetanus
"Diphtherie-Haemophilus influenzae B-
Pertussis-Poliomyelitis-Tetanus-Hepatitis B";diphtherie haemophilus influenzae b pertussis poliomyelitis tetanus hepatitis b
"Diphtherie-Haemophilus influenzae B-
Pertussis-Tetanus-Hepatitis B";diphtherie haemophilus influenzae b pertussis tetanus hepatitis b
"Diphtherie-Haemophilus influenzae B-
Pertussis-Tetanus-Hepatitis B-Meningokokken  A + C";diphtherie haemophilus influenzae b pertussis tetanus hepatitis b meningokokken a c
Diphtherie-Hepatitis B-Pertussis-Tetanus;diphtherie hepatitis b pertussis tetanus
Diphtherie-Hepatitis B-Tetanus;diphtherie hepatitis b tetanus
Diphtherie-Immunglobulin;diphtherie immunglobulin
Diphtherie-Pertussis-Poliomyelitis-Tetanus;diphtherie pertussis poliomyelitis tetanus
Diphtherie-Pertussis-Poliomyelitis-Tetanus-Hepatitis B;diphtherie pertussis poliomyelitis tetanus hepatitis b
Diphtherie-Poliomyelitis-Tetanus;diphtherie poliomyelitis tetanus
Diphtherie-Röteln-Tetanus;diphtherie roeteln tetanus
Diphtherie-Toxoid;diphtherie toxoid
Dipiperonylaminoethanol, Kombinationen;dipiperonylaminoethanol kombinationen
Dipiproverin;dipiproverin
Dipivefrin;dipivefrin
Dipivefrin, Kombinationen;dipivefrin kombinationen
Diprophyllin;diprophyllin
Diprophyllin, Kombinationen;diprophyllin kombinationen
Diprophyllin und Sympathomimetika;diprophyllin sympathomimetika
Dipyridamol;dipyridamol
Dipyridamol, Kombinationen;dipyridamol kombinationen
Dipyridamol und Acetylsalicylsäure;dipyridamol acetylsalicylsaeure
Dipyrocetyl;dipyrocetyl
Dipyrocetyl, Kombinationen exkl. Psycholeptika;dipyrocetyl kombinationen exkl psycholeptika
Dipyrocetyl, Kombinationen mit Psycholeptika;dipyrocetyl kombinationen mit psycholeptika
Dipyrocetyl und Corticosteroide;dipyrocetyl corticosteroide
Dirithromycin;dirithromycin
Diroximelfumarat;diroximelfumarat
Disopyramid;disopyramid
Distickstoffmonoxid;distickstoffmonoxid
Distickstoffmonoxid, Kombinationen;distickstoffmonoxid kombinationen
Distigmin;distigmin
Disulfiram;disulfiram
Disulfiram, Kombinationen;disulfiram kombinationen
Ditazol;ditazol
Dithranol;dithranol
Dithranol, Kombinationen;dithranol kombinationen
Divozilimab;divozilimab
Dixanthogen;dixanthogen
Dixyrazin;dixyrazin
DL-Ephedrin, Kombinationen;dl ephedrin kombinationen
DMPS;dmps
Dobutamin;dobutamin
Docetaxel;docetaxel
Docosanol;docosanol
Docusat-Natrium;docusat natrium
Docusat-Natrium, inkl. Kombinationen;docusat natrium inkl kombinationen
Dodecloniumbromid, Kombinationen;dodecloniumbromid kombinationen
Dofetilid;dofetilid
Dolasetron;dolasetron
Dolutegravir;dolutegravir
Dolutegravir und Rilpivirin;dolutegravir rilpivirin
Domiodol;domiodol
Domiphen;domiphen
Domperidon;domperidon
Donanemab;donanemab
Donepezil;donepezil
Donepezil, Memantin und Ginkgo-biloba-Blätter-Trockenextrakt;donepezil memantin ginkgo biloba blaetter trockenextrakt
Donepezil und Memantin;donepezil memantin
Donislecel;donislecel
Dopamin;dopamin
Dopexamin;dopexamin
Doravirin;doravirin
Doripenem;doripenem
Dornase alfa (Desoxyribonuclease);dornase alfa desoxyribonuclease
Dorzagliatin;dorzagliatin
Dorzolamid;dorzolamid
Dostarlimab;dostarlimab
Dosulepin;dosulepin
Dosulepin und Psycholeptika;dosulepin psycholeptika
Doxacuriumchlorid;doxacuriumchlorid
Doxapram;doxapram
Doxazosin;doxazosin
Doxazosin und Finasterid;doxazosin finasterid
Doxefazepam;doxefazepam
Doxepin;doxepin
Doxercalciferol;doxercalciferol
Doxofyllin;doxofyllin
Doxorubicin;doxorubicin
Doxycyclin;doxycyclin
Doxycyclin, Kombinationen;doxycyclin kombinationen
Doxycyclin mit Ambroxol;doxycyclin mit ambroxol
Doxylamin;doxylamin
Doxylamin, Kombinationen;doxylamin kombinationen
Drisapersen;drisapersen
Drofenin, Kombinationen;drofenin kombinationen
Drofenin und Analgetika;drofenin analgetika
Dronabinol;dronabinol
Dronedaron;dronedaron
Droperidol;droperidol
Dropropizin;dropropizin
Drospirenon;drospirenon
Drospirenon und Estetrol;drospirenon estetrol
Drospirenon und Estrogen;drospirenon estrogen
Drospirenon und Ethinylestradiol;drospirenon ethinylestradiol
Drotaverin;drotaverin
Drotrecogin alfa (aktiviert);drotrecogin alfa aktiviert
Droxicam;droxicam
Droxidopa;droxidopa
Droxypropin;droxypropin
Dulaglutid;dulaglutid
Duloxetin;duloxetin
Dünnflüssiges Paraffin;duennfluessiges paraffin
Dupilumab;dupilumab
Durvalumab;durvalumab
Dutasterid;dutasterid
Duvelisib;duvelisib
Dyclonin;dyclonin
Dydrogesteron;dydrogesteron
Dydrogesteron und Estrogen;dydrogesteron estrogen
(165Dy)Dysprosiumkolloid;dy dysprosiumkolloid
Ebastin;ebastin
Eberconazol;eberconazol
Ebola-Impfstoffe;ebola impfstoffe
Ecallantid;ecallantid
Echinacea;echinacea
Echinacea angustifolia;echinacea angustifolia
Echinacea angustifolia, Kombinationen;echinacea angustifolia kombinationen
Echinacea purpurea;echinacea purpurea
Echinacea-angustifolia-Wurzel und -Kraut;echinacea angustifolia wurzel kraut
Echinacea-angustifolia-Wurzel und -Kraut, Kombinationen;echinacea angustifolia wurzel kraut kombinationen
Echinaceakraut;echinaceakraut
Echinaceakraut, Kombinationen;echinaceakraut kombinationen
Echinacea-pallida-Wurzel;echinacea pallida wurzel
Echinacea-pallida-Wurzel, Kombinationen;echinacea pallida wurzel kombinationen
Echinacea-purpurea-Presssaft;echinacea purpurea presssaft
Echinacea-purpurea-Presssaft, Kombinationen;echinacea purpurea presssaft kombinationen
Econazol;econazol
Econazol, Kombinationen;econazol kombinationen
Ecothiopat;ecothiopat
Eculizumab;eculizumab
Edaravon;edaravon
Edetate;edetate
Edoxaban;edoxaban
Edoxudin;edoxudin
Edrecolomab;edrecolomab
Edrophonium;edrophonium
Efalizumab;efalizumab
Efanesoctocog alfa;efanesoctocog alfa
Efaproxiral;efaproxiral
Efavirenz;efavirenz
Efbemalenograstim alfa;efbemalenograstim alfa
Efepoetin alfa;efepoetin alfa
Efeublätter**;efeublaetter
Efgartigimod alfa;efgartigimod alfa
Efinaconazol;efinaconazol
Eflapegrastim;eflapegrastim
Eflornithin;eflornithin
Efloxat;efloxat
Efmoroctocog alfa;efmoroctocog alfa
Eftrenonacog alfa;eftrenonacog alfa
Eibischwurzel und -blätter**;eibischwurzel blaetter
Eichenrinde;eichenrinde
Einfache Salzkombinationen;einfache salzkombinationen
Einfache Salzkombinationen und Karminativa;einfache salzkombinationen karminativa
Eisen, Multivitamine und Folsäure;eisen multivitamine folsaeure
Eisen, Multivitamine und Mineralstoffe;eisen multivitamine mineralstoffe
Eisen und Multivitamine;eisen multivitamine
Eisen, Vitamin B12 und Folsäure;eisen vitamin b folsaeure
Eisen-Aminosäure-Komplex und Folsäure;eisen aminosaeure komplex folsaeure
Eisen(II)ascorbat;eisen ii ascorbat
Eisen(II)aspartat;eisen ii aspartat
Eisen(II)carbonat;eisen ii carbonat
Eisen(II)chlorid;eisen ii chlorid
Eisen(II)fumarat;eisen ii fumarat
Eisen(II)fumarat und Folsäure;eisen ii fumarat folsaeure
Eisen(II)gluconat;eisen ii gluconat
Eisen(II)gluconat und Folsäure;eisen ii gluconat folsaeure
Eisen(II)glycinsulfat;eisen ii glycinsulfat
Eisen(II)glycinsulfat und Folsäure;eisen ii glycinsulfat folsaeure
Eisen(III)acetyltransferrin;eisen iii acetyltransferrin
Eisen(III)citrat;eisen iii citrat
(59Fe)Eisen(III)citrat;fe eisen iii citrat
Eisen(III)-Derisomaltose;eisen iii derisomaltose
Eisen(III)hexacyanoferrat(II);eisen iii hexacyanoferrat ii
Eisen(III)hydroxid;eisen iii hydroxid
Eisen(III)hydroxid-Dextran-Komplex;eisen iii hydroxid dextran komplex
Eisen(III)hydroxid-Polymaltose-Komplex;eisen iii hydroxid polymaltose komplex
Eisen(III)hydroxid-Polymaltose-Komplex und Folsäure;eisen iii hydroxid polymaltose komplex folsaeure
Eisen(III)-maltol;eisen iii maltol
Eisen(III)natriumcitrat;eisen iii natriumcitrat
Eisen(III)natrium-Gluconat-Komplex;eisen iii natrium gluconat komplex
Eisen(II)iodat;eisen ii iodat
Eisen(III)oxidhydroxid-Saccharose-Stärke-Komplex;eisen iii oxidhydroxid saccharose staerke komplex
Eisen(III)oxid-Saccharose-Komplex;eisen iii oxid saccharose komplex
Eisen(III)proteinsuccinylat;eisen iii proteinsuccinylat
Eisen(III)sorbit-Gluconsäure-Komplex;eisen iii sorbit gluconsaeure komplex
Eisen(III)sorbit-Zitronensäure-Komplex;eisen iii sorbit zitronensaeure komplex
Eisen(II)natriumcitrat;eisen ii natriumcitrat
Eisen(II)polystyrol-sulfonat;eisen ii polystyrol sulfonat
Eisen(II)succinat;eisen ii succinat
Eisen(II)sulfat;eisen ii sulfat
Eisen(II)sulfat und Folsäure;eisen ii sulfat folsaeure
Eisen(II)tartrat;eisen ii tartrat
Eisenoxid, Nanopartikel;eisenoxid nanopartikel
Elacestrant;elacestrant
Eladocagen exuparvovec;eladocagen exuparvovec
Elafibranor;elafibranor
Elagolix;elagolix
Elagolix, Estradiol und Norethisteron;elagolix estradiol norethisteron
Elapegademase;elapegademase
Elbasvir;elbasvir
Elbasvir und Grazoprevir;elbasvir grazoprevir
Elcatonin;elcatonin
Elektrolyte;elektrolyte
Elektrolyte in Kombination mit anderen Mitteln;elektrolyte kombination mit anderen mitteln
Elektrolyte mit Kohlenhydraten;elektrolyte mit kohlenhydraten
Elektrolyte zur oralen Rehydrierung, Kombinationen;elektrolyte zur oralen rehydrierung kombinationen
Eletriptan;eletriptan
Eleutherococcuswurzel;eleutherococcuswurzel
Eliglustat;eliglustat
Elivaldogen autotemcel;elivaldogen autotemcel
Elobixibat;elobixibat
Elosulfase alfa;elosulfase alfa
Elotuzumab;elotuzumab
Elranatamab;elranatamab
Elsulfavirin;elsulfavirin
Eltrombopag;eltrombopag
Eluxadolin;eluxadolin
Elvitegravir;elvitegravir
Emapalumab;emapalumab
Emedastin;emedastin
Emepronium;emepronium
Emepronium, Kombinationen;emepronium kombinationen
Emepronium und Psycholeptika;emepronium psycholeptika
Emetin;emetin
Emetin, Kombinationen;emetin kombinationen
Emicizumab;emicizumab
Empagliflozin;empagliflozin
Empegfilgrastim;empegfilgrastim
Emser Salz;emser salz
Emser Salz, Kombinationen;emser salz kombinationen
Emtricitabin;emtricitabin
Emtricitabin, Tenofoviralafenamid, Darunavir und Cobicistat;emtricitabin tenofoviralafenamid darunavir cobicistat
Emtricitabin, Tenofoviralafenamid, Elvitegravir und Cobicistat;emtricitabin tenofoviralafenamid elvitegravir cobicistat
Emtricitabin, Tenofoviralafenamid und Bictegravir;emtricitabin tenofoviralafenamid bictegravir
