COMPONENT,COMPONENT_cleaned
Hydroxylysin,hydroxylysin
2-Methylbutyrylglycin/Creatinin,methylbutyrylglycin creatinin
Hexanoylglycin/Creatinin,hexanoylglycin creatinin
Phenylpropionylglycin/Creatinin,phenylpropionylglycin creatinin
Magnesium,magnesium
Cannabinoide,cannabinoide
11-Hydroxyandrostendion,hydroxyandrostendion
Kollagen Ak,kollagen ak
Coriandrum sativum Ak.IgE,coriandrum sativum ak ige
Dengue-Virus Ak,dengue virus ak
Endomysium Ak,endomysium ak
Entamoeba histolytica Ak,entamoeba histolytica ak
Epstein-Barr-Viruskapsid Ak.IgG,epstein barr viruskapsid ak igg
Fentanyl,fentanyl
Gliadin Ak.IgG,gliadin ak igg
Herpes-simplex-Virus Ak.IgM,herpes simplex virus ak igm
Herpes-simplex-Virus Typ 1 Ak.IgG^1. Probenmaterial,herpes simplex virus typ ak igg probenmaterial
"Wasserstoff/Ausatemluft^1,5 Stunden nach Dosis Glucose",wasserstoff ausatemluft dosis glucose
Hypoxanthin,hypoxanthin
Imipenem,imipenem
Isocyanat Ak.IgE,isocyanat ak ige
Latex Bencard Ak.IgE,latex bencard ak ige
Fettsäuren.langkettig,fettsaeuren langkettig
Zellen.CD4+CD45RA+/Zellen.CD8,zellen cd cd ra zellen cd
(Hühnerfeder+Entenfeder+Gänsefeder+Papageienfeder) Ak.IgE.RAST Klasse,huehnerfeder entenfeder gaensefeder papageienfeder ak ige rast klasse
(Blatella germanica+Dermatophagoides farinae+Dermatophagoides pteronyssinus+Hausstaub Hollister Stier) Ak.IgE.RAST Klasse,blatella germanica dermatophagoides farinae dermatophagoides pteronyssinus hausstaub hollister stier ak ige rast klasse
Desoxypyridinolin/Creatinin,desoxypyridinolin creatinin
Glyoxylat/Creatinin,glyoxylat creatinin
Malat/Creatinin,malat creatinin
2-Methylcitrat/Creatinin,methylcitrat creatinin
Methylmalonat/Creatinin,methylmalonat creatinin
Stickstoff,stickstoff
Hantavirus Ak.IgG,hantavirus ak igg
Azidität.titrierbar,aziditaet titrierbar
Ovar Ak.IgG,ovar ak igg
Carboxy-Tetrahydrocannabinol,carboxy tetrahydrocannabinol
Creatinin Renale Clearance,creatinin renale clearance
Glucose^30 Minuten nach Dosis Lactose per os,glucose minuten dosis lactose per os
Glucose^1 Stunde nach Dosis Lactose,glucose stunde dosis lactose
"Glucose^1,5 Stunden nach Dosis Lactose per os",glucose dosis lactose per os
Ziziphus jujuba Ak.IgE.RAST Klasse,ziziphus jujuba ak ige rast klasse
Prolaktin^30 Minuten nach 200 µg TRH intravenös,prolaktin minuten trh intravenoes
Rickettsia prowazekii Ak.IgG,rickettsia prowazekii ak igg
Renin^Basislinie,renin basislinie
Respiratorisches Synzytial-Virus Ak.IgM,respiratorisches synzytial virus ak igm
Respiratorisches Synzytial-Virus,respiratorisches synzytial virus
Röteln-Virus Ak,roeteln virus ak
Salmo salar Rogen Ak.IgE,salmo salar rogen ak ige
Salmonella sp Ak,salmonella sp ak
Albumin Renale Clearance,albumin renale clearance
Selen,selen
N-Acetyltyrosin/Creatinin,acetyltyrosin creatinin
Rickettsia typhi Ak.IgA,rickettsia typhi ak iga
Masern-Virus Ak.IgA,masern virus ak iga
Albumin.Liquor/Albumin.Serum oder Plasma,albumin liquor albumin serum plasma
Albumin/Globulin,albumin globulin
Smith extrahierbarer nukleärer Ak,smith extrahierbarer nukleaerer ak
Aldolase,aldolase
Streptolysin O Ak,streptolysin ak
Sulfadiazin Ak.IgE,sulfadiazin ak ige
Treponema pallidum Ak.IgM,treponema pallidum ak igm
Aldosteron^stehend,aldosteron stehend
Brucella sp Ak.IgG,brucella sp ak igg
Cortisol^vor 1 mg Dexamethason per os über Nacht,cortisol mg dexamethason per os ueber nacht
Octanoat/Creatinin,octanoat creatinin
Uracil/Creatinin,uracil creatinin
5-Fluorocytosin^TDM Spitze,fluorocytosin tdm spitze
Sjögren-Syndrom-A extrahierbarer nukleärer Ak,sjoegren syndrom extrahierbarer nukleaerer ak
Alkalische Phosphatase.plazentar,alkalische phosphatase plazentar
Trichloroacetat,trichloroacetat
Helicobacter pylori Ag,helicobacter pylori ag
Steroid-21-Hydroxylase Ak,steroid hydroxylase ak
Treponema pallidum Ak.IgG,treponema pallidum ak igg
Alkalische Phosphatase.Knochen,alkalische phosphatase knochen
Hefepilz,hefepilz
Yersinia sp Ak.IgM,yersinia sp ak igm
"Glucose^1,5 Stunden nach XXX Stimulation",glucose stimulation
Immunglobulin Leichtketten.kappa,immunglobulin leichtketten kappa
Erythrozyten.kernhaltig,erythrozyten kernhaltig
Leukozyten andere,leukozyten
Lymphozyten,lymphozyten
Hämosiderin,haemosiderin
Amikacin,amikacin
Propionylglycin/Creatinin,propionylglycin creatinin
Amylase.pankreatisch/Amylase.gesamt,amylase pankreatisch amylase gesamt
Calcium.ionisiert,calcium ionisiert
Orotat/Creatinin,orotat creatinin
Silber,silber
Toxocara canis Ak,toxocara canis ak
Toxoplasma gondii Ak.IgE,toxoplasma gondii ak ige
Toxoplasma gondii Ak.IgG+IgM,toxoplasma gondii ak igg igm
Prolymphozyten/Leukozyten,prolymphozyten leukozyten
Amylase,amylase
Cancer Antigen 72-4,cancer antigen
Lipoprotein.alpha,lipoprotein alpha
Ureaplasma urealyticum,ureaplasma urealyticum
Arginin,arginin
Coxiella burnetii Ak.IgG,coxiella burnetii ak igg
Bordetella pertussis Ak.IgM,bordetella pertussis ak igm
Campylobacter fetus Ak,campylobacter fetus ak
Follitropin^2 Stunden nach 100 µg luteinisierendem Hormon intravenös,follitropin luteinisierendem hormon intravenoes
Creatinkinase.makromolekular.Typ 1/Creatinkinase.gesamt,creatinkinase makromolekular typ creatinkinase gesamt
Gastrin^postprandial,gastrin postprandial
Epithelzellen.renal,epithelzellen renal
17-Hydroxycorticosteroide^2 Tage nach XXX Stimulation,hydroxycorticosteroide tage stimulation
Pepsin Ak.IgE.RAST Klasse,pepsin ak ige rast klasse
Trichophyton mentagrophytes var goetzii Ak.IgE,trichophyton mentagrophytes var goetzii ak ige
Schafsmilch Ak.IgE.RAST Klasse,schafsmilch ak ige rast klasse
Arbovirus Ak,arbovirus ak
Cladosporium cladosporioides Ak.IgG.RAST Klasse,cladosporium cladosporioides ak igg rast klasse
Hexahydrophthalsäureanhydrid Ak.IgE.RAST Klasse,hexahydrophthalsaeureanhydrid ak ige rast klasse
Lactoferrin bovin Ak.IgE.RAST Klasse,lactoferrin bovin ak ige rast klasse
Lutropin^1. Probenmaterial nach XXX Stimulation,lutropin probenmaterial stimulation
Saure Alpha-Glucosidase,saure alpha glucosidase
Saccharopolyspora rectivirgula Ak.IgG.RAST Klasse,saccharopolyspora rectivirgula ak igg rast klasse
Triplochiton scleroxylon Ak.IgE.RAST Klasse,triplochiton scleroxylon ak ige rast klasse
Lactat/Pyruvat,lactat pyruvat
Propafenon,propafenon
Crocus sativus Ak.IgE.RAST Klasse,crocus sativus ak ige rast klasse
Alpha-Fucosidase,alpha fucosidase
Chlortetracyclin,chlortetracyclin
Kasein Ak.IgG4,kasein ak igg
Dermatophagoides farinae Ak.IgG4,dermatophagoides farinae ak igg
Eiweiß Ak.IgG4,eiweiss ak igg
Oryza sativa Ak.IgG4.RAST Klasse,oryza sativa ak igg rast klasse
Acebutolol,acebutolol
Epidermis Ak.IgM,epidermis ak igm
Influenza-Virus Ak,influenza virus ak
Libocedrus decurrens Ak.IgE,libocedrus decurrens ak ige
Libocedrus decurrens Ak.IgE.RAST Klasse,libocedrus decurrens ak ige rast klasse
Europäische-Frühsommer-Meningoenzephalitis-Virus Ak.IgG,europaeische fruehsommer meningoenzephalitis virus ak igg
Alternaria alternata Ak.IgG4.RAST Klasse,alternaria alternata ak igg rast klasse
2-Methyl-3-Hydroxybutyrat/Creatinin,methyl hydroxybutyrat creatinin
3-Methylglutaconat/Creatinin,methylglutaconat creatinin
Decenedioat/Creatinin,decenedioat creatinin
Calcium/Creatinin,calcium creatinin
Thrombozytenfunktion.Kollagen+Adenosindiphosphat-induziert,thrombozytenfunktion kollagen adenosindiphosphat induziert
F2-Gen Mutationen getestet auf,gen mutationen getestet
(Dactylis glomerata+Festuca elatior+Lolium perenne+Phleum pratense+Poa pratensis) Ak.IgE.RAST Klasse,dactylis glomerata festuca elatior lolium perenne phleum pratense poa pratensis ak ige rast klasse
Dermatophagoides pteronyssinus Ak.IgG4.RAST Klasse,dermatophagoides pteronyssinus ak igg rast klasse
Phleum pratense Ak.IgG4,phleum pratense ak igg
Myoglobin,myoglobin
Kasein Ak.IgG4.RAST Klasse,kasein ak igg rast klasse
Cladosporium herbarum Ak.IgG4.RAST Klasse,cladosporium herbarum ak igg rast klasse
Lactalbumin alpha Ak.IgG4.RAST Klasse,lactalbumin alpha ak igg rast klasse
(Avena sativa+Hordeum vulgare+Oryza sativa+Secale cereale+Triticum aestivum+Zea mays) Ak.IgE.RAST Klasse,avena sativa hordeum vulgare oryza sativa secale cereale triticum aestivum zea mays ak ige rast klasse
Noradrenalin/Creatinin,noradrenalin creatinin
Dopamin/Creatinin,dopamin creatinin
IgE,ige
Inulin Renale Clearance,inulin renale clearance
Jod,jod
Corticosteron,corticosteron
Melatonin,melatonin
Thyroxin.frei^5. Probenmaterial nach XXX Stimulation,thyroxin frei probenmaterial stimulation
Staphylococcus aureus Enterotoxin A Ak.IgE,staphylococcus aureus enterotoxin ak ige
Parkinsonia florida Ak.IgE,parkinsonia florida ak ige
Inhibin,inhibin
Fluconazol,fluconazol
Komplement C1-Esterase-Inhibitor gebunden Ak.IgG,komplement esterase inhibitor gebunden ak igg
Alpha-Tocopherol,alpha tocopherol
Alpha-1-Antitrypsin.MS,alpha antitrypsin ms
Erythrozyten.kernhaltig/Leukozyten,erythrozyten kernhaltig leukozyten
Glucose^nach Dosis Glucose,glucose dosis glucose
Masern-Virus Ak.IgM,masern virus ak igm
Katzen-Serumalbumin Ak.IgE.RAST Klasse,katzen serumalbumin ak ige rast klasse
Hühnerkot Ak.IgE.RAST Klasse,huehnerkot ak ige rast klasse
Econazol,econazol
Insulin-ähnlicher Wachstumsfaktor^6. Probenmaterial nach XXX Stimulation,insulin aehnlicher wachstumsfaktor probenmaterial stimulation
Lathyrus sativus Ak.IgE.RAST Klasse,lathyrus sativus ak ige rast klasse
Staphylococcus aureus Enterotoxin D Ak.IgE.RAST Klasse,staphylococcus aureus enterotoxin ak ige rast klasse
Asparagin,asparagin
Thrombozytenaggregation.Ristocetin-induziert,thrombozytenaggregation ristocetin induziert
Brucella sp Ak.IgM,brucella sp ak igm
Suberylglycin/Creatinin,suberylglycin creatinin
(Arachis hypogaea+Kuhmilch+Eiweiß+Gadus morhua+Glycine max+Triticum aestivum) Ak.IgE.RAST Klasse,arachis hypogaea kuhmilch eiweiss gadus morhua glycine max triticum aestivum ak ige rast klasse
(Alternaria alternata+Aspergillus fumigatus+Cladosporium herbarum+Penicillium notatum) Ak.IgE.RAST Klasse,alternaria alternata aspergillus fumigatus cladosporium herbarum penicillium notatum ak ige rast klasse
Follitropin^3. Probenmaterial nach XXX Stimulation,follitropin probenmaterial stimulation
Glucose^30 Minuten nach XXX Stimulation,glucose minuten stimulation
Glucose^vor 50 g Glucose per os,glucose glucose per os
Prolaktin^1. Probenmaterial nach XXX Stimulation,prolaktin probenmaterial stimulation
Rickettsia conorii Ak.IgM,rickettsia conorii ak igm
Trichophyton mentagrophytes var interdigitale Ak.IgE,trichophyton mentagrophytes var interdigitale ak ige
Medikation verschrieben,medikation verschrieben
Adenovirus Ak,adenovirus ak
Conalbumin Ak.IgE,conalbumin ak ige
Pelger-Huet-Zellen,pelger huet zellen
Gerinnung,gerinnung
Morphologie,morphologie
Alpha-2-Makroglobulin,alpha makroglobulin
Spermatozoen Ak.IgG,spermatozoen ak igg
Rhizopus nigricans Ak.IgG,rhizopus nigricans ak igg
Aldosteron Renale Clearance,aldosteron renale clearance
Neutrophiler zytoplasmatischer Ak.perinukleär,neutrophiler zytoplasmatischer ak perinukleaer
Neutrophiler zytoplasmatischer Ak.atypisch,neutrophiler zytoplasmatischer ak atypisch
Noradrenalin^6. Probenmaterial nach XXX Stimulation,noradrenalin probenmaterial stimulation
Trichophyton mentagrophytes var interdigitale Ak.IgE.RAST Klasse,trichophyton mentagrophytes var interdigitale ak ige rast klasse
Trijodthyronin.frei^6. Probenmaterial nach XXX Stimulation,trijodthyronin frei probenmaterial stimulation
Vigabatrin,vigabatrin
Xylose^Basislinie,xylose basislinie
Rotavirus Ak.IgM,rotavirus ak igm
Stemphylium botryosum Ak.IgG,stemphylium botryosum ak igg
Alpha-Mannosidase,alpha mannosidase
Borrelia burgdorferi Ak.IgA,borrelia burgdorferi ak iga
"Carbamazepin 10,11-Epoxid",carbamazepin epoxid
Alpha-1-Antitrypsin.MZ,alpha antitrypsin mz
Neutrophiler zytoplasmatischer Ak.IgG,neutrophiler zytoplasmatischer ak igg
Zellen.FMC7/Zellen,zellen fmc zellen
Prolaktin^vor XXX Stimulation,prolaktin stimulation
Miconazol,miconazol
Adenosintriphosphatase,adenosintriphosphatase
Myelin-assoziiertes Glycoprotein Ak.IgG,myelin assoziiertes glycoprotein ak igg
Myelin-assoziiertes Glycoprotein Ak.IgM,myelin assoziiertes glycoprotein ak igm
Neisseria meningitidis polyvalent Ag,neisseria meningitidis polyvalent ag
Apolipoprotein A-I,apolipoprotein
Apolipoprotein A-II,apolipoprotein ii
Retinol-bindendes Protein,retinol bindendes protein
Chinidin+Chinin,chinidin chinin
Ku Ak,ku ak
Clindamycin,clindamycin
Basendefizit,basendefizit
Choriogonadotropin.beta-Untereinheit frei,choriogonadotropin beta untereinheit frei
Phthalsäureanhydrid Ak.IgG,phthalsaeureanhydrid ak igg
Phenylalanin/Creatinin,phenylalanin creatinin
Mi-2 Ak,mi ak
Artemia salina Ak.IgE.RAST Klasse,artemia salina ak ige rast klasse
Kolonienanzahl,kolonienanzahl
Tobramycin^TDM Spitze,tobramycin tdm spitze
Tobramycin^TDM Tal,tobramycin tdm tal
Haemophilus influenzae B Ak,haemophilus influenzae ak
Bougainvillea Ak.IgE.RAST Klasse,bougainvillea ak ige rast klasse
Koschenillen-Extrakt Ak.IgE,koschenillen extrakt ak ige
Blatta orientalis Ak.IgE.RAST Klasse,blatta orientalis ak ige rast klasse
Conalbumin Ak.IgE.RAST Klasse,conalbumin ak ige rast klasse
Isoniazid,isoniazid
Lactalbumin alpha Ak.IgA,lactalbumin alpha ak iga
Glutathionreduktase,glutathionreduktase
(Blatella germanica+Dermatophagoides farinae+Dermatophagoides pteronyssinus+Hausstaub Hollister Stier) Ak.IgE,blatella germanica dermatophagoides farinae dermatophagoides pteronyssinus hausstaub hollister stier ak ige
(Acer negundo+Quercus alba+Ulmus americana+Populus deltoides+Carya pecan) Ak.IgE,acer negundo quercus alba ulmus americana populus deltoides carya pecan ak ige
(Hühnerfeder+Entenfeder+Gänsefeder+Papageienfeder) Ak.IgE,huehnerfeder entenfeder gaensefeder papageienfeder ak ige
Kuhmilch Ak.IgE.RAST Klasse,kuhmilch ak ige rast klasse
Taenia-solium-Larve Ak.IgG,taenia solium larve ak igg
Dengue-Virus Ak.IgM,dengue virus ak igm
Desethylamiodaron,desethylamiodaron
Ethambutol,ethambutol
Lactalbumin alpha Ak.IgA.RAST Klasse,lactalbumin alpha ak iga rast klasse
Lactoglobulin Ak.IgA,lactoglobulin ak iga
Phosphatidylinositol Ak.IgG,phosphatidylinositol ak igg
Phospholipid Ak.IgA,phospholipid ak iga
Polymyxin B,polymyxin
Prazepam,prazepam
Proinsulin^Basislinie,proinsulin basislinie
Alpha-1-Globulin,alpha globulin
Beta-Globulin,beta globulin
Retikulin Ak.IgA,retikulin ak iga
Retrovirus,retrovirus
Röteln-Virus Ak.IgM,roeteln virus ak igm
Salmonella typhi O Ak,salmonella typhi ak
Choriongonadotropin.beta-Untereinheit,choriongonadotropin beta untereinheit
Phospholipid Ak,phospholipid ak
Probenmaterial genommen,probenmaterial genommen
Chlamydophila psittaci DNA,chlamydophila psittaci dna
Coxiella burnetii Ag,coxiella burnetii ag
Coxiella burnetii DNA,coxiella burnetii dna
Corticotropin^nach XXX Stimulation,corticotropin stimulation
Neisseria meningitidis Serogruppe B+Escherichia coli K1 Ag,neisseria meningitidis serogruppe escherichia coli ag
Immunglobulin-Leichtketten,immunglobulin leichtketten
Trichinella spiralis Ak,trichinella spiralis ak
Insulin-ähnlicher Wachstumsfaktor Bindungsprotein 3,insulin aehnlicher wachstumsfaktor bindungsprotein
2-Oxoisocaproat/Creatinin,oxoisocaproat creatinin
4-Hydroxyphenyllactat/Creatinin,hydroxyphenyllactat creatinin
Cystathionin/Creatinin,cystathionin creatinin
Cannabinoide Screening,cannabinoide screening
Trizyklische Antidepressiva getestet auf,trizyklische antidepressiva getestet
6-Monoacetylmorphin,monoacetylmorphin
Chlorpromazin,chlorpromazin
Fumarat/Creatinin,fumarat creatinin
Hydroxylysin/Creatinin,hydroxylysin creatinin
Lactat/Creatinin,lactat creatinin
Streptococcus pyogenes,streptococcus pyogenes
Zinn/Creatinin,zinn creatinin
Topiramat,topiramat
Tetrahydrocannabinol,tetrahydrocannabinol
Dihydrocodein,dihydrocodein
Ketoconazol,ketoconazol
Methylendioxymethamphetamin,methylendioxymethamphetamin
Norpropoxyphen,norpropoxyphen
Cannabinoide getestet auf,cannabinoide getestet
Francisella tularensis rRNA,francisella tularensis rrna
Leishmania sp Ak,leishmania sp ak
Leishmania sp,leishmania sp
Leptospira sp Ak,leptospira sp ak
Leptospira sp Ak.IgM,leptospira sp ak igm
Leptospira sp DNA,leptospira sp dna
Mycoplasma sp Ag,mycoplasma sp ag
Methylphenidat,methylphenidat
Midazolam,midazolam
4-Hydroxyphenylacetat/Creatinin,hydroxyphenylacetat creatinin
Lormetazepam,lormetazepam
Methamphetamin,methamphetamin
Baumwollfasern Ak.IgE,baumwollfasern ak ige
Hunde-Serumalbumin Ak.IgE,hunde serumalbumin ak ige
Trigonella foenum-graecum Ak.IgE,trigonella foenum graecum ak ige
Fuchsepithel Ak.IgE,fuchsepithel ak ige
Chloralhydrat,chloralhydrat
Pilze.hefeartig,pilze hefeartig
Pilze.fadenförmig,pilze fadenfoermig
Epithelzellen,epithelzellen
Trimellitisches Anhydrid Ak.IgG,trimellitisches anhydrid ak igg
Trimellitisches Anhydrid Ak.IgM,trimellitisches anhydrid ak igm
Trimeprazin,trimeprazin
Trimethoprim,trimethoprim
Retikulozyten/Erythrozyten,retikulozyten erythrozyten
Schweine-Serumalbumin Ak.IgE,schweine serumalbumin ak ige
Clostridium tetani-Toxoid Ak.IgE,clostridium tetani toxoid ak ige
Thermoactinomyces vulgaris Ak.IgG,thermoactinomyces vulgaris ak igg
Angabe der Angemessenheit,angabe angemessenheit
Galle,galle
Triplochiton scleroxylon Ak.IgE,triplochiton scleroxylon ak ige
Biotin,biotin
Calcidiol,calcidiol
Rübe Ak.IgE,ruebe ak ige
Katzen-Serumalbumin Ak.IgE,katzen serumalbumin ak ige
Cefaclor Ak.IgE,cefaclor ak ige
Hexahydrophthalsäureanhydrid Ak.IgE,hexahydrophthalsaeureanhydrid ak ige
Ribes sylvestre Ak.IgE,ribes sylvestre ak ige
Probenmaterialquelle,probenmaterialquelle
Biotinidase,biotinidase
Bromid,bromid
Sauerstoff/Gas.Gesamteinstellung,sauerstoff gas gesamteinstellung
Amylase.pankreatisch,amylase pankreatisch
Sedimentation,sedimentation
Komplement C1-Esterase-Inhibitor gebunden Ak.IgM,komplement esterase inhibitor gebunden ak igm
Erythrozytengröße,erythrozytengroesse
Kanamycin.Hochdosis,kanamycin hochdosis
Fibronektin.fetal,fibronektin fetal
Herpes-Virus,herpes virus
Calcium^nach 12 Stunden Nahrungskarenz,calcium nahrungskarenz
Franseria acanthicarpa Ak.IgG,franseria acanthicarpa ak igg
Ehrlichia sp Ak.IgG,ehrlichia sp ak igg
Brucella abortus Ak.IgM,brucella abortus ak igm
Epstein-Barr-Virus early restricted Ak,epstein barr virus early restricted ak
Mycoplasma pneumoniae Ak.IgA,mycoplasma pneumoniae ak iga
Neisseria meningitidis Serogruppe A Ak,neisseria meningitidis serogruppe ak
Toxocara canis Ak.IgA,toxocara canis ak iga
Schistosoma sp Ak.IgM,schistosoma sp ak igm
Röteln-Virus Ak.IgG^1. Probenmaterial,roeteln virus ak igg probenmaterial
Toxoplasma gondii Ak,toxoplasma gondii ak
Pneumocystis sp,pneumocystis sp
Thyroxin.Thyroxin-bindendes Globulin gebunden,thyroxin thyroxin bindendes globulin gebunden
Carboxyhämoglobin/Hämoglobin.gesamt,carboxyhaemoglobin haemoglobin gesamt
Probe hämolytisch,probe haemolytisch
Creatinkinase.MB/Creatinkinase.gesamt,creatinkinase mb creatinkinase gesamt
Probe lipämisch,probe lipaemisch
Glucose^1 Stunde nach Dosis Glucose,glucose stunde dosis glucose
Herpes-simplex-Virus Ak.IgG,herpes simplex virus ak igg
Protein,protein
Epstein-Barr-Viruskapsid Ak.IgM,epstein barr viruskapsid ak igm
Clue cells,clue cells
Histiozyten/Zellen,histiozyten zellen
Glucosetoleranz,glucosetoleranz
Hepatitis-B-Virus DNA,hepatitis virus dna
Ethylmalonat/Creatinin,ethylmalonat creatinin
Hydroxyprolin/Creatinin,hydroxyprolin creatinin
Methylsuccinat/Creatinin,methylsuccinat creatinin
Phosphoserin/Creatinin,phosphoserin creatinin
Pyridinolin/Creatinin,pyridinolin creatinin
Thiamin,thiamin
Succinylaceton/Creatinin,succinylaceton creatinin
Masern-Virus Ak.IgG,masern virus ak igg
Salmonella sp,salmonella sp
Cholesterol.in HDL/Cholesterol.gesamt,cholesterol hdl cholesterol gesamt
Cholinesterase,cholinesterase
Clarithromycin,clarithromycin
Escherichia coli F41,escherichia coli
Leptospira sp,leptospira sp
Listeria sp,listeria sp
aktiviertes Protein C-Gen zielgerichtete Mutationsanalyse,aktiviertes protein gen zielgerichtete mutationsanalyse
Brucella abortus Ak,brucella abortus ak
Carbamate,carbamate
5-Fluorocytosin^TDM Tal,fluorocytosin tdm tal
Nickel/Creatinin,nickel creatinin
Ciprofloxacin,ciprofloxacin
Zellen.CD3+CD4+/Zellen.CD3+CD8+,zellen cd cd zellen cd cd
Uroporphyrinogendecarboxylase,uroporphyrinogendecarboxylase
Zellen.CD3+HLA-DR+/Zellen,zellen cd hla dr zellen
Curvularia lunata Ak.IgG,curvularia lunata ak igg
Kasein Ak.IgA,kasein ak iga
Phthalsäureanhydrid Ak.IgM,phthalsaeureanhydrid ak igm
Anionenlücke,anionenluecke
Mikrobiologische Untersuchungen,mikrobiologische untersuchungen
Diagnostische Bildgebung - Untersuchung,diagnostische bildgebung untersuchung
Apolipoprotein C-III,apolipoprotein iii
Behandlungsplan - Notiz,behandlungsplan notiz
Apolipoprotein LPA,apolipoprotein lpa
Ampicillin+Sulbactam,ampicillin sulbactam
Arginase,arginase
Sulfadiazin,sulfadiazin
Tobramycin,tobramycin
Erythrozyten/Probenmaterialvolumen,erythrozyten probenmaterialvolumen
Adenosinmonophosphat.zyklisch/Creatinin,adenosinmonophosphat zyklisch creatinin
Lymphozyten.aktivierte T-Zellen/Lymphozyten.klein,lymphozyten aktivierte zellen lymphozyten klein
Levofloxacin,levofloxacin
Aspartat,aspartat
Ceruloplasmin,ceruloplasmin
Tryptophan,tryptophan
Aspergillus sp,aspergillus sp
Trübung,truebung
Campylobacter sp,campylobacter sp
Phosphat/Creatinin,phosphat creatinin
Succinat/Creatinin,succinat creatinin
Bilirubin-Kristalle,bilirubin kristalle
Calciumcarbonat-Kristalle,calciumcarbonat kristalle
Medikamente,medikamente
Lipidzylinder,lipidzylinder
Granulierte Zylinder,granulierte zylinder
Hyaline Zylinder,hyaline zylinder
Mevalonat/Creatinin,mevalonat creatinin
Sebacat/Creatinin,sebacat creatinin
Cryptosporidium sp,cryptosporidium sp
Arylamidase,arylamidase
Thunnus albacares Ak.IgG.RAST Klasse,thunnus albacares ak igg rast klasse
Brucella sp Ak,brucella sp ak
Mangan,mangan
Cholesterol.in VLDL,cholesterol vldl
Vero-Toxin,vero toxin
Suberat/Creatinin,suberat creatinin
Cystin-Kristalle,cystin kristalle
Epithelzylinder,epithelzylinder
Ovale Fettkörper (Kügelchen),ovale fettkoerper kuegelchen
Amylase.Speichel/Amylase.gesamt,amylase speichel amylase gesamt
Bordetella pertussis DNA,bordetella pertussis dna
Hühner-Serumproteine Ak.IgE.RAST Klasse,huehner serumproteine ak ige rast klasse
Mycoplasma sp+Ureaplasma sp,mycoplasma sp ureaplasma sp
Adenosinmonophosphat.zyklisch.nephrogen,adenosinmonophosphat zyklisch nephrogen
Prunus dulcis Ak.IgG.RAST Klasse,prunus dulcis ak igg rast klasse
Erythrozytenverteilungsbreite,erythrozytenverteilungsbreite
Citrus paradisis Ak.IgG.RAST Klasse,citrus paradisis ak igg rast klasse
Hausstaub Greer Ak.IgG.RAST Klasse,hausstaub greer ak igg rast klasse
Reagin Ak,reagin ak
3-Methoxy-4-Hydroxyphenylglycol,methoxy hydroxyphenylglycol
Adenovirus DNA,adenovirus dna
Hordeum vulgare Ak.IgG.RAST Klasse,hordeum vulgare ak igg rast klasse
Beta-2-Glycoprotein-1 Ak.IgA,beta glycoprotein ak iga
Geburtsdatum,geburtsdatum
Weizenkleie Ak.IgE.RAST Klasse,weizenkleie ak ige rast klasse
Hefe.knospend,hefe knospend
Ethylmorphin,ethylmorphin
Flunitrazepam,flunitrazepam
Gerinnungszeit Thrombin-induziert,gerinnungszeit thrombin induziert
Albumin^2 Stunden nach Peritonealdialyse,albumin peritonealdialyse
Alnus incana Ak.IgE.RAST Klasse,alnus incana ak ige rast klasse
Rote Bohne Ak.IgG.RAST Klasse,rote bohne ak igg rast klasse
Käse Cheddar-Typ Ak.IgG.RAST Klasse,kaese cheddar typ ak igg rast klasse
Malus sylvestris Ak.IgG.RAST Klasse,malus sylvestris ak igg rast klasse
Prunus armeniaca Ak.IgG.RAST Klasse,prunus armeniaca ak igg rast klasse
Aspergillus terreus Ak.IgE.RAST Klasse,aspergillus terreus ak ige rast klasse
Glycine max Ak.IgG.RAST Klasse,glycine max ak igg rast klasse
Daucus carota Ak.IgG.RAST Klasse,daucus carota ak igg rast klasse
Ceftazidim,ceftazidim
Chlamydophila pneumoniae,chlamydophila pneumoniae
Chlamydia trachomatis DNA,chlamydia trachomatis dna
Ruditapes spp Ak.IgG.RAST Klasse,ruditapes spp ak igg rast klasse
Baumwollsamen Ak.IgG.RAST Klasse,baumwollsamen ak igg rast klasse
17-Ketosteroide,ketosteroide
Antimon,antimon
Bordetella pertussis Ak.IgG,bordetella pertussis ak igg
Rote Rübe Ak.IgE.RAST Klasse,rote ruebe ak ige rast klasse
Kuhmilch Ak.IgG.RAST Klasse,kuhmilch ak igg rast klasse
Betula verrucosa Ak.IgG,betula verrucosa ak igg
Betula verrucosa Ak.IgG.RAST Klasse,betula verrucosa ak igg rast klasse
Linum usitatissimum Ak.IgE.RAST Klasse,linum usitatissimum ak ige rast klasse
Bilirubin Renale Clearance,bilirubin renale clearance
Bilirubin.nicht-glucuronidiert,bilirubin glucuronidiert
Hühnerkot Ak.IgE,huehnerkot ak ige
Merluccius merluccius Ak.IgE,merluccius merluccius ak ige
Pferdefleisch Ak.IgE,pferdefleisch ak ige
Ficus carica Ak.IgE.RAST Klasse,ficus carica ak ige rast klasse
Allium sativum Ak.IgG.RAST Klasse,allium sativum ak igg rast klasse
Porcine Gelatine Ak.IgE.RAST Klasse,porcine gelatine ak ige rast klasse
Artocarpus heterophyllus Ak.IgE,artocarpus heterophyllus ak ige
Maleinsäure-Anhydrid Ak.IgE,maleinsaeure anhydrid ak ige
Tenebrio mollitor Ak.IgE,tenebrio mollitor ak ige
