icd_title,clean_synonym,only_nouns,non_nouns,adjectives
Nausea,uebel,,uebel,
Nausea,uebelkeit,,uebelkeit,
Nausea,unbehaglichkeitsgefuehl,,unbehaglichkeitsgefuehl,
Nausea,übelkeit,übelkeit,,
PART DETACH-GIANT TEAR,neue netzhautabloesung teilweise mit riesigem riss,netzhautabloesung riss,neue teilweise mit riesigem,neue riesigem
FRACTURE ONE RIB-CLOSED,geschlossene fraktur einer rippe,fraktur rippe,geschlossene einer,
"AMPUTAT STUMP COMPL, INFEC",infektion chronisch des amputationsstumpfs,infektion amputationsstumpfs,chronisch des,
CONTUSION OF FINGER,prellung des fingers,prellung fingers,des,
OSTEOARTHROS NOS-SHLDER,osteoarthrosis unspezifisch ob generalisiert oder lokalisiert mit beteiligung der schultergegend,osteoarthrosis beteiligung,unspezifisch ob generalisiert oder lokalisiert mit der schultergegend,
AORTIC VALVE DISORDER,aortenklappenerkrankung,aortenklappenerkrankung,,
AORTIC VALVE DISORDER,aortenklappenerkrankungen,,aortenklappenerkrankungen,
AORTIC VALVE DISORDER,aortenklappenkrankheit,aortenklappenkrankheit,,
AORTIC VALVE DISORDER,aortenklappenkrankheit nicht naeher bezeichnet,aortenklappenkrankheit,nicht naeher bezeichnet,
AORTIC VALVE DISORDER,aortenklappenvitium,aortenklappenvitium,,
AORTIC VALVE DISORDER,aortenklappenvitium nnb,aortenklappenvitium,nnb,
AORTIC VALVE DISORDER,erkrankungen der aortenklappe,erkrankungen aortenklappe,der,
AORTIC VALVE DISORDER,herzerkrankung der aortenklappe,herzerkrankung aortenklappe,der,
AORTIC VALVE DISORDER,herzkrankheit der aorta,herzkrankheit aorta,der,
AORTIC VALVE DISORDER,herzkrankheit der aortenklappe,herzkrankheit aortenklappe,der,
ARTHROPATHY NOS-SHLDER,arthropathie nicht spezifiziert mit beteiligung der schultergegend,arthropathie beteiligung,nicht spezifiziert mit der schultergegend,
ARTHROPATHY NOS-L/LEG,arthropathie nicht spezifiziert mit beteiligung des unterschenkels,arthropathie beteiligung unterschenkels,nicht spezifiziert mit des,
Umbilical hernia without obstruction or gangrene,exomphalos,,exomphalos,
Umbilical hernia without obstruction or gangrene,hernia umbilicalis,hernia umbilicalis,,
Umbilical hernia without obstruction or gangrene,hernia umbilicalis ohne einklemmung und ohne gangraen,hernia umbilicalis einklemmung gangraen,ohne und ohne,
Umbilical hernia without obstruction or gangrene,nabelbruch,,nabelbruch,
Umbilical hernia without obstruction or gangrene,nabelbruch nnb,,nabelbruch nnb,
Umbilical hernia without obstruction or gangrene,nabelbrueche,,nabelbrueche,nabelbrueche
Umbilical hernia without obstruction or gangrene,nabelschnurbruch,nabelschnurbruch,,
Umbilical hernia without obstruction or gangrene,umbilikalhernie,umbilikalhernie,,
UNILAT INGUINAL HERNIA,einseitiger oder unspezifischer leistenbruch ohne erwaehnung von obstruktion oder gangraen,leistenbruch erwaehnung obstruktion gangraen,einseitiger oder unspezifischer ohne von oder,einseitiger unspezifischer
ABDOM AORTIC ANEURYSM,aneurysma der aorta abdominalis ohne angabe einer ruptur,aneurysma aorta abdominalis angabe ruptur,der ohne einer,
ABDOM AORTIC ANEURYSM,aneurysma der bauchaorta ohne erwaehnung einer ruptur,aneurysma bauchaorta erwaehnung ruptur,der ohne einer,
PLANTAR FIBROMATOSIS,fibromatose der plantarfaszie,fibromatose plantarfaszie,der,
PLANTAR FIBROMATOSIS,fibromatose der plantarfaszie ledderhose kontraktur,fibromatose plantarfaszie kontraktur,der ledderhose,ledderhose
PLANTAR FIBROMATOSIS,fibromatose plantare,plantare,fibromatose,fibromatose
PLANTAR FIBROMATOSIS,ledderhose krankheit,krankheit,ledderhose,ledderhose
PLANTAR FIBROMATOSIS,morbus ledderhose,morbus,ledderhose,ledderhose
PLANTAR FIBROMATOSIS,plantar fibrom,plantar fibrom,,
PLANTAR FIBROMATOSIS,plantarfibromatose,,plantarfibromatose,plantarfibromatose
FX SHAFT TIBIA-CLOSED,geschlossene fraktur des schienbeinschafts,fraktur schienbeinschafts,geschlossene des,
FX SHAFT FIB W TIB-CLOS,fraktur des schafts von tibia und fibula geschlossen,fraktur schafts tibia,des von und fibula geschlossen,
FX SHAFT FIB W TIB-CLOS,geschlossene fraktur des schafts von fibula mit tibia,fraktur schafts fibula tibia,geschlossene des von mit,
GRAND MAL STATUS,generalisierter konvulsiver status epilepticus,konvulsiver status,generalisierter epilepticus,
GRAND MAL STATUS,grand mal status,grand,mal status,
GRAND MAL STATUS,grand mal status epileptisch,grand,mal status epileptisch,
GRAND MAL STATUS,konvulsiver status epilepticus,status,konvulsiver epilepticus,
GRAND MAL STATUS,status epilepticus grand mal,status grand,epilepticus mal,
Precordial pain,brustschmerz praekordial,brustschmerz,praekordial,
Precordial pain,praekordiale schmerzen,schmerzen,praekordiale,praekordiale
Precordial pain,praekordialer schmerz,schmerz,praekordialer,
Precordial pain,praekordialschmerz,praekordialschmerz,,
Precordial pain,schmerz praekordial,schmerz,praekordial,
SWELLING IN HEAD & NECK,schwellung raumforderung oder knoten an kopf und nacken,schwellung raumforderung knoten kopf nacken,oder an und,
Type 1 diabetes mellitus without complications,primaer insulinabhaengiger diabetes mellitus typ i diabetes ohne komplikationen,insulinabhaengiger diabetes mellitus typ diabetes komplikationen,primaer i ohne,
Hemorrhage of anus and rectum,anorektale blutung,blutung,anorektale,anorektale
Hemorrhage of anus and rectum,blutung aus anus und rektum,blutung anus rektum,aus und,
Hemorrhage of anus and rectum,blutung von rektum und anus,blutung rektum anus,von und,
Hemorrhage of anus and rectum,haemorrhagie des anus und des rektums,haemorrhagie anus rektums,des und des,
Abn lev hormones in specimens from female genital organs,abnorme befunde in untersuchungsmaterialien aus den weiblichen genitalorganen abnormer hormonwert,befunde untersuchungsmaterialien genitalorganen abnormer,abnorme in aus den weiblichen hormonwert,weiblichen
Chronic lymphocytic leuk of B-cell type not achieve remis,b lymphozytenleukämie chronische,b lymphozytenleukämie chronische,,
Chronic lymphocytic leuk of B-cell type not achieve remis,b zell leukämie chronische,zell leukämie chronische,b,
Chronic lymphocytic leuk of B-cell type not achieve remis,chronische lymphatische leukaemie,leukaemie,chronische lymphatische,chronische lymphatische
Chronic lymphocytic leuk of B-cell type not achieve remis,chronische lymphatische leukaemie nnb,leukaemie,chronische lymphatische nnb,chronische lymphatische
Chronic lymphocytic leuk of B-cell type not achieve remis,chronische lymphatische leukaemie vom b zell typ,leukaemie zell typ,chronische lymphatische vom b,chronische b
Chronic lymphocytic leuk of B-cell type not achieve remis,chronische lymphoide leukaemie,lymphoide leukaemie,chronische,chronische
Chronic lymphocytic leuk of B-cell type not achieve remis,chronische lymphozytische leukaemie,leukaemie,chronische lymphozytische,chronische lymphozytische
Chronic lymphocytic leuk of B-cell type not achieve remis,cll,cll,,
Chronic lymphocytic leuk of B-cell type not achieve remis,kleinzelliges lymphozytisches b zell lymphom,b zell,kleinzelliges lymphozytisches lymphom,kleinzelliges lymphozytisches
Chronic lymphocytic leuk of B-cell type not achieve remis,leukaemie lymphozytisch chronisch,,leukaemie lymphozytisch chronisch,
Chronic lymphocytic leuk of B-cell type not achieve remis,leukaemien chronisch lymphozytaer,leukaemien lymphozytaer,chronisch,
Chronic lymphocytic leuk of B-cell type not achieve remis,leukämie b zell chronische,leukämie b zell,chronische,chronische
Chronic lymphocytic leuk of B-cell type not achieve remis,leukämie lymphozytäre chronische b zell,leukämie b,lymphozytäre chronische zell,lymphozytäre
Chronic lymphocytic leuk of B-cell type not achieve remis,lymphoide leukaemie chronisch,lymphoide,leukaemie chronisch,
Chronic lymphocytic leuk of B-cell type not achieve remis,lymphozytenleukämie chronische b zell,lymphozytenleukämie chronische b,zell,
Chronic lymphocytic leuk of B-cell type not achieve remis,lymphozytisches gut differenziertes diffuses lymphom,,lymphozytisches gut differenziertes diffuses lymphom,lymphozytisches differenziertes
Chronic lymphocytic leuk of B-cell type not achieve remis,lymphozytisches lymphom,lymphom,lymphozytisches,lymphozytisches
Chronic lymphocytic leuk of B-cell type not achieve remis,lymphozytäre leukämie chronische b,leukämie chronische b,lymphozytäre,lymphozytäre
CERVICITIS,zervizitis und endozervizitis,zervizitis endozervizitis,und,
Unspecified kidney failure,harnvergiftung,harnvergiftung,,
Unspecified kidney failure,nicht naeher bezeichnete niereninsuffizienz,niereninsuffizienz,nicht naeher bezeichnete,
Unspecified kidney failure,nierenversagen,,nierenversagen,
Unspecified kidney failure,nierenversagen nnb,,nierenversagen nnb,
Unspecified kidney failure,nierenversagen nicht spezifiziert,,nierenversagen nicht spezifiziert,
Unspecified kidney failure,renales versagen,versagen,renales,
Unspecified kidney failure,uraemie,uraemie,,
Unspecified kidney failure,uraemie renalen ursprungs,uraemie ursprungs,renalen,
Unspecified kidney failure,uraemie renaler genese,uraemie renaler genese,,
Unspecified kidney failure,urämie,urämie,,
Unspecified kidney failure,versagen der niere,,versagen der niere,niere
Nonalcoholic steatohepatitis (NASH),metabolische dysfunktion assoziierte steatohepatitis,dysfunktion steatohepatitis,metabolische assoziierte,metabolische
Nonalcoholic steatohepatitis (NASH),nash,,nash,
Nonalcoholic steatohepatitis (NASH),nicht alkoholische steatohepatitis,steatohepatitis,nicht alkoholische,alkoholische
Nonalcoholic steatohepatitis (NASH),nichtalkoholische steatohepatitis,steatohepatitis,nichtalkoholische,nichtalkoholische
FX DORSAL VERTEBRA-CLOSE,geschlossene fraktur eines rueckenwirbels brustwirbel ohne erwaehnung einer rueckenmarklaesion,fraktur rueckenwirbels brustwirbel erwaehnung rueckenmarklaesion,geschlossene eines ohne einer,
FX DORSAL VERTEBRA-CLOSE,geschlossene fraktur eines rueckenwirbels brustwirbel ohne erwaehnung einer rueckenmarkverletzung,fraktur rueckenwirbels brustwirbel erwaehnung rueckenmarkverletzung,geschlossene eines ohne einer,
FX CLAVICLE NOS-CLOSED,fraktur des schluesselbeins geschlossen,fraktur schluesselbeins,des geschlossen,
FX CLAVICLE NOS-CLOSED,geschlossene fraktur des schluesselbeins,fraktur schluesselbeins,geschlossene des,
FX CLAVICLE NOS-CLOSED,geschlossene fraktur des schluesselbeins nicht spezifizierte stelle,fraktur schluesselbeins stelle,geschlossene des nicht spezifizierte,
FRACTURE TWO RIBS-CLOSED,geschlossene fraktur von zwei rippen,fraktur rippen,geschlossene von zwei,
"Pleural effusion, not elsewhere classified",abgekapselte pleuritis,pleuritis,abgekapselte,
"Pleural effusion, not elsewhere classified",nicht spezifizierter pleuraerguss,pleuraerguss,nicht spezifizierter,
"Pleural effusion, not elsewhere classified",pleuraerguss,pleuraerguss,,
"Pleural effusion, not elsewhere classified",pleuraerguss nnb,pleuraerguss,nnb,
"Pleural effusion, not elsewhere classified",pleuraerguss anderenorts nicht klassifiziert,pleuraerguss,anderenorts nicht klassifiziert,
"Pleural effusion, not elsewhere classified",pleuraerguß,pleuraerguß,,
Hypertensive urgency,hypertensive dringlichkeit,dringlichkeit,hypertensive,
Hypertensive urgency,hypertensive entgleisung,entgleisung,hypertensive,
DISLOC METACARPOPHALN-CL,geschlossene luxation des metakarpophalangealgelenks,luxation metakarpophalangealgelenks,geschlossene des,
Torticollis,schiefer hals,hals,schiefer,
Torticollis,schiefhals,schiefhals,,
Torticollis,torticollis,torticollis,,
Torticollis,torticollis nicht spezifiziert,torticollis,nicht spezifiziert,
Torticollis,tortikollis,tortikollis,,
SEPTICEMIA NOS,nicht spezifizierte septikaemie,septikaemie,nicht spezifizierte,
SEPTICEMIA NOS,sepsis nicht naeher bezeichnet,sepsis,nicht naeher bezeichnet,
SEPTICEMIA NOS,septhämie,septhämie,,
SEPTICEMIA NOS,septikaemie,septikaemie,,
SEPTICEMIA NOS,septikaemie nnb,septikaemie,nnb,
SEPTICEMIA NOS,septikaemie ohne weitere angabe,septikaemie angabe,ohne weitere,weitere
SEPTICEMIA NOS,septikhaemie,septikhaemie,,
SEPTICEMIA NOS,septikhämie,septikhämie,,
SEPTICEMIA NOS,septikämie,septikämie,,
SEPTICEMIA NOS,septisches fieber,fieber,septisches,septisches
SEVERE SEPSIS ,schwere sepsis,sepsis,schwere,schwere
SEPTIC SHOCK,schock septisch,schock,septisch,
SEPTIC SHOCK,schock septischer,schock,septischer,
SEPTIC SHOCK,septischer schock,schock,septischer,
Streptococcal pharyngitis,halsschmerzen durch streptokokken,,halsschmerzen durch streptokokken,
Streptococcal pharyngitis,pharyngitis durch streptokokken,pharyngitis,durch streptokokken,
Streptococcal pharyngitis,streptokokken pharyngitis,pharyngitis,streptokokken,
Presence of cardiac pacemaker,vorhandensein eines kuenstlichen herzschrittmachers,herzschrittmachers,vorhandensein eines kuenstlichen,kuenstlichen
ACUTE BRONCHITIS,akute bronchitis,bronchitis,akute,akute
ACUTE BRONCHITIS,akute bronchitis nicht naeher bezeichnet,bronchitis,akute nicht naeher bezeichnet,akute
ACUTE BRONCHITIS,akute tracheobronchitis,tracheobronchitis,akute,akute
ACUTE BRONCHITIS,bronchitis akut nnb,bronchitis akut,nnb,
"Crohn's disease, unspecified, without complications",crohn enteritis,crohn enteritis,,
"Crohn's disease, unspecified, without complications",crohn krankheit enteritis regionalis morbus crohn,crohn krankheit enteritis regionalis morbus crohn,,
"Crohn's disease, unspecified, without complications",crohn krankheit nicht naeher bezeichnet,crohn krankheit,nicht naeher bezeichnet,
"Crohn's disease, unspecified, without complications",enteritis regionalis,enteritis regionalis,,
"Crohn's disease, unspecified, without complications",enteritis regionalis an nicht spezifizierter stelle,enteritis regionalis,an nicht spezifizierter stelle,
"Crohn's disease, unspecified, without complications",enteritis granulomatöse,,enteritis granulomatöse,
"Crohn's disease, unspecified, without complications",krankheit crohn,krankheit crohn,,
"Crohn's disease, unspecified, without complications",morbus crohn,morbus crohn,,
ANOREXIA NERVOSA,anorexia nervosa,nervosa,anorexia,
NAUSEA,uebelkeit allein,,uebelkeit allein,
"Chronic obstructive pulmonary disease, unspecified",chronisch obstruktive atemwegserk,atemwegserk,chronisch obstruktive,obstruktive
"Chronic obstructive pulmonary disease, unspecified",chronisch obstruktive atemwegserkrankung,atemwegserkrankung,chronisch obstruktive,obstruktive
"Chronic obstructive pulmonary disease, unspecified",chronisch obstruktive lungenerkrankung,lungenerkrankung,chronisch obstruktive,obstruktive
"Chronic obstructive pulmonary disease, unspecified",chronisch obstruktive lungenkrankheit,lungenkrankheit,chronisch obstruktive,obstruktive
"Chronic obstructive pulmonary disease, unspecified",chronisch obstruktive pulmonale erkrankung,erkrankung,chronisch obstruktive pulmonale,obstruktive pulmonale
"Chronic obstructive pulmonary disease, unspecified",chronisch obstruktive pulmonale krankheit,krankheit,chronisch obstruktive pulmonale,obstruktive pulmonale
"Chronic obstructive pulmonary disease, unspecified",chronisch obstruktiven lungenerkrankung,lungenerkrankung,chronisch obstruktiven,
"Chronic obstructive pulmonary disease, unspecified",chronisch obstruktive bronchopneumopathie,bronchopneumopathie,chronisch obstruktive,obstruktive
"Chronic obstructive pulmonary disease, unspecified",chronisch obstruktive lungenerkrankung,lungenerkrankung,chronisch obstruktive,obstruktive
"Chronic obstructive pulmonary disease, unspecified",chronische luftstrombehinderung,luftstrombehinderung,chronische,chronische
"Chronic obstructive pulmonary disease, unspecified",chronische obstruktive atemwegserkrankung,atemwegserkrankung,chronische obstruktive,chronische
"Chronic obstructive pulmonary disease, unspecified",chronische obstruktive lungenkrankheit nicht naeher bezeichnet,lungenkrankheit,chronische obstruktive nicht naeher bezeichnet,chronische
"Chronic obstructive pulmonary disease, unspecified",coad,coad,,
"Chronic obstructive pulmonary disease, unspecified",copd,copd,,
"Chronic obstructive pulmonary disease, unspecified",hyperreaktive atemwegserkrankung,atemwegserkrankung,hyperreaktive,
"Chronic obstructive pulmonary disease, unspecified",lungenkrankheiten chronisch obstruktive,,lungenkrankheiten chronisch obstruktive,obstruktive
"Chronic obstructive pulmonary disease, unspecified",obstruktive atemwegserkrankung chronisch,atemwegserkrankung,obstruktive chronisch,obstruktive
ABRASION HIP & LEG,abrasion od reibungsverbrenn an huefte oberschenkel bein und knoechel ohne erwaehn einer infekt,abrasion od reibungsverbrenn oberschenkel bein knoechel infekt,an huefte und ohne erwaehn einer,
CONTUSION OF ELBOW,prellung des ellbogens,prellung ellbogens,des,
CONTUSION OF ELBOW,prellung des ellenbogens,prellung ellenbogens,des,
OPEN WND KNEE/LEG/ANKLE,offene wunde von knie bein ausser oberschenkel und knoechel ohne erwaehnung einer komplikation,wunde knie bein oberschenkel knoechel erwaehnung komplikation,offene von ausser und ohne einer,offene ausser
CARDIAC PACEMAKER STATUS,vorhandensein eines kuenstlichen herzschrittmachers,herzschrittmachers,vorhandensein eines kuenstlichen,kuenstlichen
DRUG DERMATITIS NOS,dermatitis verursacht durch eingenommene arneimittel und medikamente,dermatitis arneimittel,verursacht durch eingenommene und medikamente,eingenommene
DRUG DERMATITIS NOS,dermatitis verursacht durch eingenommene arneimittel und medizin,dermatitis arneimittel medizin,verursacht durch eingenommene und,eingenommene
CELLULITIS OF ARM,zellulitis und abszess von oberarm und unterarm,zellulitis abszess oberarm,und von und unterarm,
SENILE DEMENTIA UNCOMP,senile demenz ohne komplikationen,senile demenz komplikationen,ohne,
"FAILURE TO THRIVE,ADULT",adulte gedeihstoerung,gedeihstoerung,adulte,
"Schizoaffective disorder, unspecified",schizoaffektive form der schizophrenie,form schizophrenie,schizoaffektive der,
"Schizoaffective disorder, unspecified",schizoaffektive psychose,,schizoaffektive psychose,schizoaffektive psychose
"Schizoaffective disorder, unspecified",schizoaffektive stoerung,stoerung,schizoaffektive,
"Schizoaffective disorder, unspecified",schizoaffektive stoerung nicht naeher bezeichnet,stoerung,schizoaffektive nicht naeher bezeichnet,
"Schizoaffective disorder, unspecified",schizoaffektive stoerungen,stoerungen,schizoaffektive,
"Schizoaffective disorder, unspecified",schizoaffektive störung,störung,schizoaffektive,
"Schizoaffective disorder, unspecified",schizophrenie schizoaffektiv,schizophrenie,schizoaffektiv,
"BIPOL AFF, MANIC-UNSPEC",bipolare affektive stoerung manisch,stoerung,bipolare affektive manisch,bipolare affektive
"BIPOL AFF, MANIC-UNSPEC",bipolare affektive stoerung manisch unspezifische form,stoerung form,bipolare affektive manisch unspezifische,bipolare affektive unspezifische
"BIPOL AFF, MANIC-UNSPEC",manische störung,störung,manische,manische
PARANOID SCHIZO-UNSPEC,paranoide form der schizophrenie,form schizophrenie,paranoide der,
PARANOID SCHIZO-UNSPEC,paranoide form der schizophrenie ohne angabe des stadiums,form schizophrenie angabe stadiums,paranoide der ohne des,
PARANOID SCHIZO-UNSPEC,paranoide schizophrenie,schizophrenie,paranoide,paranoide
PARANOID SCHIZO-UNSPEC,schizophrenie paranoide,schizophrenie,paranoide,paranoide
PARANOID SCHIZO-UNSPEC,schizophrenie paranoider typus,schizophrenie typus,paranoider,paranoider
"Schizoaffective disorder, depressive type",schizoaffektive stoerung depressiver typ,stoerung typ,schizoaffektive depressiver,
"Schizoaffective disorder, depressive type",schizoaffektive stoerung gegenwaertig depressiv,stoerung,schizoaffektive gegenwaertig depressiv,
"Ectopic pregnancy, unspecified",ekkyesis,ekkyesis,,
"Ectopic pregnancy, unspecified",ektopische schwangerschaft,schwangerschaft,ektopische,ektopische
"Ectopic pregnancy, unspecified",extrauteringraviditaet,,extrauteringraviditaet,
"Ectopic pregnancy, unspecified",extrauteringraviditaet nicht naeher bezeichnet,,extrauteringraviditaet nicht naeher bezeichnet,
"Ectopic pregnancy, unspecified",extrauteringraviditaet nicht spezifiziert,,extrauteringraviditaet nicht spezifiziert,
"Ectopic pregnancy, unspecified",extrauteringravidität,extrauteringravidität,,
"Ectopic pregnancy, unspecified",extrauterinschwangerschaft,extrauterinschwangerschaft,,
"Ectopic pregnancy, unspecified",nicht spezifizierte ektopische schwangerschaft,schwangerschaft,nicht spezifizierte ektopische,spezifizierte ektopische
"Ectopic pregnancy, unspecified",schwangersch extrauterin,extrauterin,schwangersch,
"Ectopic pregnancy, unspecified",schwangerschaft ektopisch,,schwangerschaft ektopisch,
"Ectopic pregnancy, unspecified",schwangerschaft ektopische,,schwangerschaft ektopische,ektopische
SPRAIN LUMBAR REGION,lumbale stauchung,stauchung,lumbale,lumbale
SPRAIN OF KNEE & LEG NOS,verstauchung einer unspezifischen stelle von knie und bein,verstauchung stelle knie bein,einer unspezifischen von und,unspezifischen
SPRAIN OF KNEE & LEG NOS,verstauchungen und zerrungen einer unspezifischen stelle von knie und bein,stelle knie bein,verstauchungen und zerrungen einer unspezifischen von und,unspezifischen
REDNESS/DISCHARGE OF EYE,roetung oder absonderung des auges,roetung absonderung auges,oder des,
PAIN IN OR AROUND EYE,schmerz im oder um das auge,schmerz auge,im oder um das,
VISUAL DISTURBANCES NEC,sonstige spezifische sehstoerungen,sehstoerungen,sonstige spezifische,sonstige spezifische
INGROWING NAIL,einwachsende naegel,naegel,einwachsende,einwachsende
INGROWING NAIL,einwachsender nagel,nagel,einwachsender,
INGROWING NAIL,nägel eingewachsene,nägel,eingewachsene,eingewachsene
INGROWING NAIL,unguis incarnatus,incarnatus,unguis,
End stage renal disease,chronische nierenerkrankung stadium 5,nierenerkrankung stadium,chronische 5,
Dependence on renal dialysis,abhaengigkeit von dialyse bei niereninsuffizienz,abhaengigkeit dialyse niereninsuffizienz,von bei,
Dependence on renal dialysis,abhaengigkeit von nierendialyse,abhaengigkeit nierendialyse,von,
Acidosis,azidose,,azidose,azidose
Acidosis,azidose nnb,nnb,azidose,azidose
Bacteremia,bakteriaemie,,bakteriaemie,
Bacteremia,bakteriaemie nicht spezifiziert,,bakteriaemie nicht spezifiziert,
Bacteremia,bakteriämie,bakteriämie,,
Bacteremia,nicht spezifizierte bakteriaemie,bakteriaemie,nicht spezifizierte,
OPEN WOUND OF FOOT,offene wunde des fusses ausgenommen zehen allein ohne komplikation,wunde fusses komplikation,offene des ausgenommen zehen allein ohne,
Other nonspecific lymphadenitis,sonstige unspezifische lymphadenitis,lymphadenitis,sonstige unspezifische,sonstige unspezifische
GOUT NOS,gicht,,gicht,
GOUT NOS,gicht nicht naeher bezeichnet,,gicht nicht naeher bezeichnet,
GOUT NOS,gicht nicht spezifiziert,,gicht nicht spezifiziert,
GOUT NOS,urikopathie,urikopathie,,
Pain in thoracic spine,schmerz in der thorakalen wirbelsaeule,schmerz wirbelsaeule,in der thorakalen,
Pain in thoracic spine,schmerzen im bereich der brustwirbelsaeule,schmerzen bereich brustwirbelsaeule,im der,
"Abdominal aortic aneurysm, without rupture",aneurysma der aorta abdominalis ohne angabe einer ruptur,aneurysma aorta abdominalis angabe ruptur,der ohne einer,
"Abdominal aortic aneurysm, without rupture",aneurysma der bauchaorta ohne erwaehnung einer ruptur,aneurysma bauchaorta erwaehnung ruptur,der ohne einer,
Brief psychotic disorder,kurze reaktive psychosen,psychosen,kurze reaktive,kurze
Brief psychotic disorder,paranoide reaktion,reaktion,paranoide,paranoide
Brief psychotic disorder,psychogene paranoide psychose,,psychogene paranoide psychose,psychogene paranoide psychose
Brief psychotic disorder,psychose kurze reaktive,reaktive,psychose kurze,psychose kurze
Brief psychotic disorder,reaktion paranoid,reaktion,paranoid,
OTHER CHRONIC PAIN ,sonstiger chronischer schmerz,schmerz,sonstiger chronischer,sonstiger
CHOLANGITIS,cholangiitis,cholangiitis,,
CHOLANGITIS,cholangitis,cholangitis,,
CHOLANGITIS,cholangitis nnb,cholangitis,nnb,
CHOLANGITIS,entzuendung des gallengangs,entzuendung gallengangs,des,
CHOLANGITIS,gallengangsentzündung,gallengangsentzündung,,
CHOLELITHIASIS NOS,stein in der gallenblase ohne erwaehnung von cholecystitis ohne erwaehnung einer obstruktion,stein gallenblase erwaehnung cholecystitis erwaehnung obstruktion,in der ohne von ohne einer,
Encounter for adjustment and management of VAD,anpassung und handhabung eines vaskulaeren zugangs,anpassung handhabung zugangs,und eines vaskulaeren,
Amyotrophic lateral sclerosis,als,,als,
Amyotrophic lateral sclerosis,amyotrophische lateralsklerose,,amyotrophische lateralsklerose,amyotrophische lateralsklerose
Amyotrophic lateral sclerosis,charcot syndrom ii,charcot syndrom,ii,
Amyotrophic lateral sclerosis,gehrig krankheit,,gehrig krankheit,
Amyotrophic lateral sclerosis,lateralsklerose amyotrophische,lateralsklerose amyotrophische,,
Amyotrophic lateral sclerosis,lateralsklerose myatrophische,myatrophische,lateralsklerose,lateralsklerose
Amyotrophic lateral sclerosis,loe gehrig krankheit,loe,gehrig krankheit,
Amyotrophic lateral sclerosis,lou gehrig syndrom,,lou gehrig syndrom,
Amyotrophic lateral sclerosis,motoreuronerkrankung amyotrophe lateralsklerose,motoreuronerkrankung amyotrophe lateralsklerose,,
Amyotrophic lateral sclerosis,myatrophische lateralsklerose,,myatrophische lateralsklerose,myatrophische lateralsklerose
ACUTE APPENDICITIS NOS,akute appendizitis ohne erwaehnung von peritonitis,appendizitis erwaehnung peritonitis,akute ohne von,akute
POISONING-OPIATES NEC,vergiftung durch sonstige opiate und damit verwandte narkotika,vergiftung opiate narkotika,durch sonstige und damit verwandte,sonstige
CONCUSSION W COMA NOS,gehirnerschuetterung mit verlust des bewusstseins von unspezifischer dauer,gehirnerschuetterung verlust bewusstseins dauer,mit des von unspezifischer,unspezifischer
DEHYDRATION,dehydratation,dehydratation,,
DEHYDRATION,dehydratisierung,dehydratisierung,,
DEHYDRATION,exsikkose,,exsikkose,exsikkose
Allergic purpura,allergische kutane angiitis,kutane angiitis,allergische,allergische
Allergic purpura,allergische purpura,purpura,allergische,allergische
Allergic purpura,allergische vaskulaere purpura,vaskulaere purpura,allergische,allergische
Allergic purpura,allergische vaskulitis,vaskulitis,allergische,allergische
Allergic purpura,anaphylaktische angiitis,angiitis,anaphylaktische,anaphylaktische
Allergic purpura,anaphylaktische vaskulaere purpur,vaskulaere purpur,anaphylaktische,anaphylaktische
Allergic purpura,anaphylaktische vaskulaere purpura,vaskulaere purpura,anaphylaktische,anaphylaktische
Allergic purpura,anaphylaktoide purpura,anaphylaktoide purpura,,
Allergic purpura,anaphylaktoide vaskulaere purpura,anaphylaktoide purpura,vaskulaere,
Allergic purpura,angiitis hypersensitivitaets,angiitis hypersensitivitaets,,
Allergic purpura,angiitis hypersensitivitäts,angiitis,hypersensitivitäts,
Allergic purpura,angiitis leukozytoklastische,angiitis,leukozytoklastische,leukozytoklastische
Allergic purpura,henoch schoenlein,,henoch schoenlein,
Allergic purpura,henoch schoenlein purpura,,henoch schoenlein purpura,
Allergic purpura,henoch schoenlein purpura,,henoch schoenlein purpura,
Allergic purpura,hypersensitivitaetsangiitis,hypersensitivitaetsangiitis,,
Allergic purpura,hypersensitivitaetsangiitis nicht spezifiziert,hypersensitivitaetsangiitis,nicht spezifiziert,
Allergic purpura,hypersensitivitaetsvaskulitis,hypersensitivitaetsvaskulitis,,
Allergic purpura,hypersensitivitätsangiitis,,hypersensitivitätsangiitis,
Allergic purpura,hypersensitivitätsvaskulitis,hypersensitivitätsvaskulitis,,
Allergic purpura,iga vaskulitis,iga vaskulitis,,
Allergic purpura,leukozytoklastische vaskulitis,vaskulitis,leukozytoklastische,leukozytoklastische
Allergic purpura,purpura allergisch,purpura allergisch,,
Allergic purpura,purpura anaphylactoides,purpura anaphylactoides,,
Allergic purpura,purpura anaphylaktisch,,purpura anaphylaktisch,
Allergic purpura,purpura anaphylaktoid,purpura anaphylaktoid,,
Allergic purpura,purpura schoenlein henoch,,purpura schoenlein henoch,
Allergic purpura,purpura vaskulaer,purpura vaskulaer,,
Allergic purpura,purpura vaskulaer allergisch,purpura,vaskulaer allergisch,vaskulaer
Allergic purpura,schoenlein henoch purpura,,schoenlein henoch purpura,
Allergic purpura,schoenlein henoch purpura,,schoenlein henoch purpura,
Allergic purpura,vaskulitis allergisch,vaskulitis,allergisch,
