ATC-Bedeutung,ATC-Bedeutung_cleaned
Cyproteron und Estrogen,cyproteron estrogen
Cytarabin,cytarabin
Cytarabin und Daunorubicin,cytarabin daunorubicin
Cytidin,cytidin
Cytisiniclin,cytisiniclin
Cytomegalievirus-Immunglobulin,cytomegalievirus immunglobulin
"C1-Inhibitor, aus Plasma gewonnen",inhibitor plasma gewonnen
Dabigatranetexilat,dabigatranetexilat
Dabrafenib,dabrafenib
Dacarbazin,dacarbazin
Daclatasvir,daclatasvir
"Daclatasvir, Asunaprevir und Beclabuvir",daclatasvir asunaprevir beclabuvir
Daclizumab,daclizumab
Dacomitinib,dacomitinib
Dactinomycin,dactinomycin
Dalbavancin,dalbavancin
Dalteparin,dalteparin
Damoctocog alfa pegol,damoctocog alfa pegol
Danaparoid,danaparoid
Danazol,danazol
Danicopan,danicopan
Dantrolen,dantrolen
Dantron,dantron
"Dantron, inkl. Kombinationen",dantron inkl
Dapagliflozin,dapagliflozin
Dapiprazol,dapiprazol
Dapivirin,dapivirin
Dapoxetin,dapoxetin
Daprodustat,daprodustat
Dapson,dapson
"Dapson, Rifampicin und Clofazimin",dapson rifampicin clofazimin
Dapson und Rifampicin,dapson rifampicin
Daptomycin,daptomycin
Daratumumab,daratumumab
Darbepoetin alfa,darbepoetin alfa
Daridorexant,daridorexant
Darifenacin,darifenacin
Darolutamid,darolutamid
Darunavir,darunavir
Darunavir und Cobicistat,darunavir cobicistat
Darunavir und Ritonavir,darunavir ritonavir
Darvadstrocel,darvadstrocel
Dasabuvir,dasabuvir
"Dasabuvir, Ombitasvir, Paritaprevir und Ritonavir",dasabuvir ombitasvir paritaprevir ritonavir
Dasatinib,dasatinib
Dasiglucagon,dasiglucagon
Dasiprotimut-T,dasiprotimut
Daunorubicin,daunorubicin
Deanol,deanol
Debrisoquin,debrisoquin
Decamethoxin,decamethoxin
Decamethrin,decamethrin
Decitabin,decitabin
Decitabin und Cedazuridin,decitabin cedazuridin
Deferasirox,deferasirox
Deferipron,deferipron
Deferoxamin,deferoxamin
Defibrotid,defibrotid
Deflazacort,deflazacort
Degarelix,degarelix
Dehydrocholsäure,dehydrocholsaeure
Dehydroemetin,dehydroemetin
Delafloxacin,delafloxacin
Delamanid,delamanid
Delandistrogen moxeparvovec,delandistrogen moxeparvovec
Delapril,delapril
Delapril und Diuretika,delapril diuretika
Delapril und Manidipin,delapril manidipin
Delavirdin,delavirdin
Delgocitinib,delgocitinib
Demecarium,demecarium
Demeclocyclin,demeclocyclin
Demecolcin,demecolcin
Demegeston,demegeston
Demoxytocin,demoxytocin
Denaverin,denaverin
Dengue-Impfstoffe,dengue impfstoffe
Denileukindiftitox,denileukindiftitox
Denosumab,denosumab
Deptropin,deptropin
Dequalinium,dequalinium
Desaspidin,desaspidin
Deserpidin,deserpidin
Deserpidin und Diuretika,deserpidin diuretika
Desfesoterodin,desfesoterodin
Desfluran,desfluran
Desipramin,desipramin
Desirudin,desirudin
Deslanosid,deslanosid
Desloratadin,desloratadin
Desmopressin,desmopressin
Desogestrel,desogestrel
Desogestrel und Estrogen,desogestrel estrogen
Desogestrel und Ethinylestradiol,desogestrel ethinylestradiol
Desonid,desonid
Desonid und Antiseptika,desonid antiseptika
Desoximetason,desoximetason
7-Desoxycholsäure,desoxycholsaeure
Desoxycorton,desoxycorton
Desoxyribonuclease,desoxyribonuclease
Desvenlafaxin,desvenlafaxin
Detajmium,detajmium
Deucravacitinib,deucravacitinib
Deutetrabenazin,deutetrabenazin
Dexamethason,dexamethason
"Dexamethason, Neomycin und Polymyxin B",dexamethason neomycin polymyxin
Dexamethason und Antibiotika,dexamethason antibiotika
Dexamethason und Antiinfektiva,dexamethason antiinfektiva
Dexamethason und Antiseptika,dexamethason antiseptika
Dexamethason und Ciprofloxacin,dexamethason ciprofloxacin
Dexamethason und Gentamicin,dexamethason gentamicin
Dexamethason und Levofloxacin,dexamethason levofloxacin
Dexamethason und Mydriatika,dexamethason mydriatika
Dexamethason und Neomycin,dexamethason neomycin
Dexamethason und Netilmicin,dexamethason netilmicin
Dexamethason und Oxytetracyclin,dexamethason oxytetracyclin
Dexamethason und Tobramycin,dexamethason tobramycin
Dexamfetamin,dexamfetamin
Dexbrompheniramin,dexbrompheniramin
Dexchlorpheniramin,dexchlorpheniramin
Dexetimid,dexetimid
Dexfenfluramin,dexfenfluramin
Dexibuprofen,dexibuprofen
Dexketoprofen,dexketoprofen
Dexlansoprazol,dexlansoprazol
Dexmedetomidin,dexmedetomidin
Dexmethylphenidat,dexmethylphenidat
Dexmethylphenidat und Serdexmethylphenidat,dexmethylphenidat serdexmethylphenidat
Dexpanthenol,dexpanthenol
Dexrabeprazol,dexrabeprazol
Dexrazoxan,dexrazoxan
Dextran,dextran
Dextranomer,dextranomer
Dextromethorphan,dextromethorphan
Dextromoramid,dextromoramid
Dextropropoxyphen,dextropropoxyphen
"Dextropropoxyphen, Kombinationen exkl. Psycholeptika",dextropropoxyphen psycholeptika
Dextrothyroxin,dextrothyroxin
Dezocin,dezocin
Diacerein,diacerein
Diamorphin,diamorphin
Diastase,diastase
"Diätetika ohne Phenylalanin, Kombinationen",diaetetika phenylalanin
Diazepam,diazepam
Diazoxid,diazoxid
Dibekacin,dibekacin
Dibenzepin,dibenzepin
Dibismut-tris(tetraoxodialuminat),dibismut tris tetraoxodialuminat
Dibotermin alfa,dibotermin alfa
Dibrompropamidin,dibrompropamidin
Dibromtyrosin,dibromtyrosin
Dibunat,dibunat
Dibutylphthalat,dibutylphthalat
Dibutylsuccinat,dibutylsuccinat
Dichloralphenazon,dichloralphenazon
Dichlorbenzylalkohol,dichlorbenzylalkohol
Dichlorchinolinol,dichlorchinolinol
Dichlorophen,dichlorophen
Dichte-Testzone,dichte testzone
Dickflüssiges Paraffin,dickfluessiges paraffin
Diclofenac,diclofenac
Diclofenac und Antiinfektiva,diclofenac antiinfektiva
Diclofenac und Omeprazol,diclofenac omeprazol
Diclofenamid,diclofenamid
Dicloxacillin,dicloxacillin
Dicoumarol,dicoumarol
Dicycloverin,dicycloverin
Didanosin,didanosin
Didecyldimethylammoniumchlorid,didecyldimethylammoniumchlorid
Dienestrol,dienestrol
Dienogest,dienogest
Dienogest und Estradiol,dienogest estradiol
Dienogest und Estrogen,dienogest estrogen
Dienogest und Ethinylestradiol,dienogest ethinylestradiol
"Diethylaminsalicylat, Kombinationen",diethylaminsalicylat
Diethylcarbamazin,diethylcarbamazin
Diethylether,diethylether
(2-Benzhydryloxyethyl)diethylmethylammoniumiodid,benzhydryloxyethyl diethylmethylammoniumiodid
Diethylstilbestrol,diethylstilbestrol
Diethyltoluamid,diethyltoluamid
Difelikefalin,difelikefalin
Difemerin,difemerin
Difenoxin,difenoxin
Difenpiramid,difenpiramid
Difetarson,difetarson
Diflorason,diflorason
Diflucortolon,diflucortolon
Diflucortolon und Antiseptika,diflucortolon antiseptika
Diflunisal,diflunisal
Difluprednat,difluprednat
Digitalis-Antitoxin,digitalis antitoxin
Digitalisblätter,digitalisblaetter
Digitalisglykoside,digitalisglykoside
Digitalisglykoside und Aesculin,digitalisglykoside aesculin
Digitoxin,digitoxin
Digoxin,digoxin
Dihexyverin,dihexyverin
Dihydralazin,dihydralazin
Dihydralazin und Diuretika,dihydralazin diuretika
"Dihydralazin und Diuretika, Kombinationen mit anderen Mitteln",dihydralazin diuretika mitteln
Dihydrochinidin,dihydrochinidin
Dihydrocodein,dihydrocodein
Dihydrocodein und Acetylsalicylsäure,dihydrocodein acetylsalicylsaeure
Dihydrocodein und andere nichtopioide Analgetika,dihydrocodein nichtopioide analgetika
Dihydrocodein und Paracetamol,dihydrocodein paracetamol
Dihydroergocristin,dihydroergocristin
Dihydroergocryptinmesilat,dihydroergocryptinmesilat
Dihydroergotamin,dihydroergotamin
"Dihydroergotamin, Kombinationen mit Psycholeptika",dihydroergotamin psycholeptika
Dihydroergotaminmesilat,dihydroergotaminmesilat
Dihydroergotaminmesilat und Etilefrin,dihydroergotaminmesilat etilefrin
Dihydroergotoxin,dihydroergotoxin
Dihydrostreptomycin,dihydrostreptomycin
Dihydrotachysterol,dihydrotachysterol
Dihydroxyaluminiumnatriumcarbonat (Carbaldrat),dihydroxyaluminiumnatriumcarbonat carbaldrat
Dihydroxyaluminiumnatriumcarbonat und Karminativa,dihydroxyaluminiumnatriumcarbonat karminativa
Diiodhydroxychinolin,diiodhydroxychinolin
Diiodhydroxypropan,diiodhydroxypropan
Diiodtyrosin,diiodtyrosin
Diisopromin,diisopromin
Diisopropylamin,diisopropylamin
Dikaliumclorazepat,dikaliumclorazepat
Dilazep,dilazep
Diloxanid,diloxanid
Diltiazem,diltiazem
Dimazol,dimazol
Dimeflin,dimeflin
Dimemorfan,dimemorfan
Dimenhydrinat,dimenhydrinat
Dimercaprol,dimercaprol
Dimetacrin,dimetacrin
Dimethoxanat,dimethoxanat
4-Dimethylaminophenol,dimethylaminophenol
Dimethylaminopropionylphenothiazin,dimethylaminopropionylphenothiazin
Dimethylcarbat,dimethylcarbat
Dimethylfumarat,dimethylfumarat
Dimethylphthalat,dimethylphthalat
Dimethylsulfoxid,dimethylsulfoxid
Dimethyltubocurarin,dimethyltubocurarin
Dimeticon,dimeticon
Dimetinden,dimetinden
Dimetofrin,dimetofrin
Dimetotiazin,dimetotiazin
Dinatrium-1-glycerophosphat,dinatrium glycerophosphat
Dinoprost,dinoprost
Dinoproston,dinoproston
Dinutuximab beta,dinutuximab beta
Diodon,diodon
Diosmectit,diosmectit
Diosmin,diosmin
Dioxopromethazin,dioxopromethazin
Diphemanil,diphemanil
Diphemanil und Psycholeptika,diphemanil psycholeptika
Diphenadion,diphenadion
Diphenhydramin,diphenhydramin
Diphenhydraminmethylbromid,diphenhydraminmethylbromid
Diphenoxylat,diphenoxylat
Diphenylpyralin,diphenylpyralin
Diphtherie-Antitoxin,diphtherie antitoxin
"Diphtherie-Haemophilus influenzae B-
Pertussis-Poliomyelitis-Tetanus",diphtherie haemophilus influenzae pertussis poliomyelitis tetanus
"Diphtherie-Haemophilus influenzae B-
Pertussis-Poliomyelitis-Tetanus-Hepatitis B",diphtherie haemophilus influenzae pertussis poliomyelitis tetanus hepatitis
"Diphtherie-Haemophilus influenzae B-
Pertussis-Tetanus-Hepatitis B",diphtherie haemophilus influenzae pertussis tetanus hepatitis
"Diphtherie-Haemophilus influenzae B-
Pertussis-Tetanus-Hepatitis B-Meningokokken  A + C",diphtherie haemophilus influenzae pertussis tetanus hepatitis meningokokken
Diphtherie-Hepatitis B-Pertussis-Tetanus,diphtherie hepatitis pertussis tetanus
Diphtherie-Hepatitis B-Tetanus,diphtherie hepatitis tetanus
Diphtherie-Immunglobulin,diphtherie immunglobulin
Diphtherie-Pertussis-Poliomyelitis-Tetanus,diphtherie pertussis poliomyelitis tetanus
Diphtherie-Pertussis-Poliomyelitis-Tetanus-Hepatitis B,diphtherie pertussis poliomyelitis tetanus hepatitis
Diphtherie-Poliomyelitis-Tetanus,diphtherie poliomyelitis tetanus
Diphtherie-Röteln-Tetanus,diphtherie roeteln tetanus
Diphtherie-Toxoid,diphtherie toxoid
"Dipiperonylaminoethanol, Kombinationen",dipiperonylaminoethanol
Dipiproverin,dipiproverin
Dipivefrin,dipivefrin
Diprophyllin,diprophyllin
Diprophyllin und Sympathomimetika,diprophyllin sympathomimetika
Dipyridamol,dipyridamol
Dipyridamol und Acetylsalicylsäure,dipyridamol acetylsalicylsaeure
Dipyrocetyl,dipyrocetyl
"Dipyrocetyl, Kombinationen exkl. Psycholeptika",dipyrocetyl psycholeptika
Dipyrocetyl und Corticosteroide,dipyrocetyl corticosteroide
Dirithromycin,dirithromycin
Diroximelfumarat,diroximelfumarat
Disopyramid,disopyramid
Distickstoffmonoxid,distickstoffmonoxid
Distigmin,distigmin
Disulfiram,disulfiram
Ditazol,ditazol
Dithranol,dithranol
Divozilimab,divozilimab
Dixanthogen,dixanthogen
Dixyrazin,dixyrazin
"DL-Ephedrin, Kombinationen",dl ephedrin
DMPS,dmps
Dobutamin,dobutamin
Docetaxel,docetaxel
Docosanol,docosanol
Docusat-Natrium,docusat natrium
"Docusat-Natrium, inkl. Kombinationen",docusat natrium inkl
"Dodecloniumbromid, Kombinationen",dodecloniumbromid
Dofetilid,dofetilid
Dolasetron,dolasetron
Dolutegravir,dolutegravir
Dolutegravir und Rilpivirin,dolutegravir rilpivirin
Domiodol,domiodol
Domiphen,domiphen
Domperidon,domperidon
Donanemab,donanemab
Donepezil,donepezil
"Donepezil, Memantin und Ginkgo-biloba-Blätter-Trockenextrakt",donepezil memantin ginkgo biloba blaetter trockenextrakt
Donepezil und Memantin,donepezil memantin
Donislecel,donislecel
Dopamin,dopamin
Dopexamin,dopexamin
Doravirin,doravirin
Doripenem,doripenem
Dornase alfa (Desoxyribonuclease),dornase alfa desoxyribonuclease
Dorzagliatin,dorzagliatin
Dorzolamid,dorzolamid
Dostarlimab,dostarlimab
Dosulepin,dosulepin
Dosulepin und Psycholeptika,dosulepin psycholeptika
Doxacuriumchlorid,doxacuriumchlorid
Doxapram,doxapram
Doxazosin,doxazosin
Doxazosin und Finasterid,doxazosin finasterid
Doxefazepam,doxefazepam
Doxepin,doxepin
Doxercalciferol,doxercalciferol
Doxofyllin,doxofyllin
Doxorubicin,doxorubicin
Doxycyclin,doxycyclin
Doxycyclin mit Ambroxol,doxycyclin ambroxol
Doxylamin,doxylamin
Drisapersen,drisapersen
"Drofenin, Kombinationen",drofenin
Drofenin und Analgetika,drofenin analgetika
Dronabinol,dronabinol
Dronedaron,dronedaron
Droperidol,droperidol
Dropropizin,dropropizin
Drospirenon,drospirenon
Drospirenon und Estetrol,drospirenon estetrol
Drospirenon und Estrogen,drospirenon estrogen
Drospirenon und Ethinylestradiol,drospirenon ethinylestradiol
Drotaverin,drotaverin
Drotrecogin alfa (aktiviert),drotrecogin alfa aktiviert
Droxicam,droxicam
Droxidopa,droxidopa
Droxypropin,droxypropin
Dulaglutid,dulaglutid
Duloxetin,duloxetin
Dünnflüssiges Paraffin,duennfluessiges paraffin
Dupilumab,dupilumab
Durvalumab,durvalumab
Dutasterid,dutasterid
Duvelisib,duvelisib
Dyclonin,dyclonin
Dydrogesteron,dydrogesteron
Dydrogesteron und Estrogen,dydrogesteron estrogen
(165Dy)Dysprosiumkolloid,dy dysprosiumkolloid
Ebastin,ebastin
Eberconazol,eberconazol
Ebola-Impfstoffe,ebola impfstoffe
Ecallantid,ecallantid
Echinacea,echinacea
Echinacea angustifolia,echinacea angustifolia
Echinacea purpurea,echinacea purpurea
Echinacea-angustifolia-Wurzel und -Kraut,echinacea angustifolia wurzel kraut
Echinaceakraut,echinaceakraut
Echinacea-pallida-Wurzel,echinacea pallida wurzel
Echinacea-purpurea-Presssaft,echinacea purpurea presssaft
Econazol,econazol
Ecothiopat,ecothiopat
Eculizumab,eculizumab
Edaravon,edaravon
Edetate,edetate
Edoxaban,edoxaban
Edoxudin,edoxudin
Edrecolomab,edrecolomab
Edrophonium,edrophonium
Efalizumab,efalizumab
Efanesoctocog alfa,efanesoctocog alfa
Efaproxiral,efaproxiral
Efavirenz,efavirenz
Efbemalenograstim alfa,efbemalenograstim alfa
Efepoetin alfa,efepoetin alfa
Efeublätter**,efeublaetter
Efgartigimod alfa,efgartigimod alfa
Efinaconazol,efinaconazol
Eflapegrastim,eflapegrastim
Eflornithin,eflornithin
Efloxat,efloxat
Efmoroctocog alfa,efmoroctocog alfa
Eftrenonacog alfa,eftrenonacog alfa
Eibischwurzel und -blätter**,eibischwurzel blaetter
Eichenrinde,eichenrinde
Einfache Salzkombinationen,einfache salzkombinationen
Einfache Salzkombinationen und Karminativa,einfache salzkombinationen karminativa
"Eisen, Multivitamine und Folsäure",eisen multivitamine folsaeure
"Eisen, Multivitamine und Mineralstoffe",eisen multivitamine mineralstoffe
Eisen und Multivitamine,eisen multivitamine
"Eisen, Vitamin B12 und Folsäure",eisen vitamin folsaeure
Eisen-Aminosäure-Komplex und Folsäure,eisen aminosaeure komplex folsaeure
Eisen(II)ascorbat,eisen ii ascorbat
Eisen(II)aspartat,eisen ii aspartat
Eisen(II)carbonat,eisen ii carbonat
Eisen(II)chlorid,eisen ii chlorid
Eisen(II)fumarat,eisen ii fumarat
Eisen(II)fumarat und Folsäure,eisen ii fumarat folsaeure
Eisen(II)gluconat,eisen ii gluconat
Eisen(II)gluconat und Folsäure,eisen ii gluconat folsaeure
Eisen(II)glycinsulfat,eisen ii glycinsulfat
Eisen(II)glycinsulfat und Folsäure,eisen ii glycinsulfat folsaeure
Eisen(III)acetyltransferrin,eisen iii acetyltransferrin
Eisen(III)citrat,eisen iii citrat
(59Fe)Eisen(III)citrat,fe eisen iii citrat
Eisen(III)-Derisomaltose,eisen iii derisomaltose
Eisen(III)hexacyanoferrat(II),eisen iii hexacyanoferrat ii
Eisen(III)hydroxid,eisen iii hydroxid
Eisen(III)hydroxid-Dextran-Komplex,eisen iii hydroxid dextran komplex
Eisen(III)hydroxid-Polymaltose-Komplex,eisen iii hydroxid polymaltose komplex
Eisen(III)hydroxid-Polymaltose-Komplex und Folsäure,eisen iii hydroxid polymaltose komplex folsaeure
Eisen(III)-maltol,eisen iii maltol
Eisen(III)natriumcitrat,eisen iii natriumcitrat
Eisen(III)natrium-Gluconat-Komplex,eisen iii natrium gluconat komplex
Eisen(II)iodat,eisen ii iodat
Eisen(III)oxidhydroxid-Saccharose-Stärke-Komplex,eisen iii oxidhydroxid saccharose staerke komplex
Eisen(III)oxid-Saccharose-Komplex,eisen iii oxid saccharose komplex
Eisen(III)proteinsuccinylat,eisen iii proteinsuccinylat
Eisen(III)sorbit-Gluconsäure-Komplex,eisen iii sorbit gluconsaeure komplex
Eisen(III)sorbit-Zitronensäure-Komplex,eisen iii sorbit zitronensaeure komplex
Eisen(II)natriumcitrat,eisen ii natriumcitrat
Eisen(II)polystyrol-sulfonat,eisen ii polystyrol sulfonat
Eisen(II)succinat,eisen ii succinat
Eisen(II)sulfat,eisen ii sulfat
Eisen(II)sulfat und Folsäure,eisen ii sulfat folsaeure
Eisen(II)tartrat,eisen ii tartrat
"Eisenoxid, Nanopartikel",eisenoxid nanopartikel
Elacestrant,elacestrant
Eladocagen exuparvovec,eladocagen exuparvovec
Elafibranor,elafibranor
Elagolix,elagolix
"Elagolix, Estradiol und Norethisteron",elagolix estradiol norethisteron
Elapegademase,elapegademase
Elbasvir,elbasvir
Elbasvir und Grazoprevir,elbasvir grazoprevir
Elcatonin,elcatonin
Elektrolyte,elektrolyte
Elektrolyte in Kombination mit anderen Mitteln,elektrolyte kombination mitteln
Elektrolyte mit Kohlenhydraten,elektrolyte kohlenhydraten
"Elektrolyte zur oralen Rehydrierung, Kombinationen",elektrolyte oralen rehydrierung
Eletriptan,eletriptan
Eleutherococcuswurzel,eleutherococcuswurzel
Eliglustat,eliglustat
Elivaldogen autotemcel,elivaldogen autotemcel
Elobixibat,elobixibat
Elosulfase alfa,elosulfase alfa
Elotuzumab,elotuzumab
Elranatamab,elranatamab
Elsulfavirin,elsulfavirin
Eltrombopag,eltrombopag
Eluxadolin,eluxadolin
Elvitegravir,elvitegravir
Emapalumab,emapalumab
Emedastin,emedastin
Emepronium,emepronium
Emepronium und Psycholeptika,emepronium psycholeptika
Emetin,emetin
Emicizumab,emicizumab
Empagliflozin,empagliflozin
Empegfilgrastim,empegfilgrastim
Emser Salz,emser salz
Emtricitabin,emtricitabin
"Emtricitabin, Tenofoviralafenamid, Darunavir und Cobicistat",emtricitabin tenofoviralafenamid darunavir cobicistat
"Emtricitabin, Tenofoviralafenamid, Elvitegravir und Cobicistat",emtricitabin tenofoviralafenamid elvitegravir cobicistat
"Emtricitabin, Tenofoviralafenamid und Bictegravir",emtricitabin tenofoviralafenamid bictegravir
"Emtricitabin, Tenofoviralafenamid und Dolutegravir",emtricitabin tenofoviralafenamid dolutegravir
"Emtricitabin, Tenofoviralafenamid und Rilpivirin",emtricitabin tenofoviralafenamid rilpivirin
"Emtricitabin, Tenofovirdisoproxil, Elvitegravir und Cobicistat",emtricitabin tenofovirdisoproxil elvitegravir cobicistat
"Emtricitabin, Tenofovirdisoproxil und Efavirenz",emtricitabin tenofovirdisoproxil efavirenz
"Emtricitabin, Tenofovirdisoproxil und Rilpivirin",emtricitabin tenofovirdisoproxil rilpivirin
Emtricitabin und Tenofoviralafenamid,emtricitabin tenofoviralafenamid
Emylcamat,emylcamat
Enalapril,enalapril
Enalapril und Diuretika,enalapril diuretika
Enalapril und Hydrochlorothiazid,enalapril hydrochlorothiazid
Enalapril und Lercanidipin,enalapril lercanidipin
Enalapril und Nitrendipin,enalapril nitrendipin
Enasidenib,enasidenib
Enavogliflozin,enavogliflozin
Encainid,encainid
"Encephalitis, japanische, inaktiviert, ganzes Virus",encephalitis japanische inaktiviert ganzes virus
"Encephalitis, japanische, lebend abgeschwächt",encephalitis japanische lebend abgeschwaecht
Encorafenib,encorafenib
Endralazin,endralazin
Enfluran,enfluran
Enfortumab vedotin,enfortumab vedotin
Enfuvirtid,enfuvirtid
Enisamiumiodid,enisamiumiodid
Enoxacin,enoxacin
Enoxaparin,enoxaparin
Enoximon,enoximon
Enoxolon,enoxolon
Enprostil,enprostil
Ensitrelvir,ensitrelvir
Entacapon,entacapon
Entecavir,entecavir
"Enterobacteriaceae Stämme, Kombinationen",enterobacteriaceae staemme
Enterococcus faecalis,enterococcus faecalis
"Enterococcus, Kombinationen",enterococcus
Enterovirus-71-Impfstoffe,enterovirus impfstoffe
Entinostat,entinostat
Entrectinib,entrectinib
Enviomycin,enviomycin
Enzalutamid,enzalutamid
Enzianwurzel,enzianwurzel
"Enzyme, Kombinationen",enzyme
Enzym-haltige Kombinationen,enzym
Eosin,eosin
Epacadostat,epacadostat
Epanolol,epanolol
Epcoritamab,epcoritamab
Eperison,eperison
Ephedrin,ephedrin
Epicillin,epicillin
Epimestrol,epimestrol
Epinastin,epinastin
Epinephrin,epinephrin
"Epinephrin und andere Mittel bei obstruktiven 
Atemwegserkrankungen",epinephrin mittel obstruktiven atemwegserkrankungen
Epirubicin,epirubicin
Epitizid und Kalium sparende Mittel,epitizid kalium sparende mittel
Eplerenon,eplerenon
Eplontersen,eplontersen
Epoetin delta,epoetin delta
Epomediol,epomediol
Epoprostenol,epoprostenol
Eprazinon,eprazinon
Eprosartan,eprosartan
Eprosartan und Diuretika,eprosartan diuretika
Eprosartan und Hydrochlorothiazid,eprosartan hydrochlorothiazid
Eprozinol,eprozinol
Eptacog alfa (aktiviert),eptacog alfa aktiviert
Eptacog beta (aktiviert),eptacog beta aktiviert
Eptifibatid,eptifibatid
Eptinezumab,eptinezumab
Eptotermin alfa,eptotermin alfa
Eravacyclin,eravacyclin
(169Er)Erbiumcitratkolloid,erbiumcitratkolloid
Erdafitinib,erdafitinib
Erdnussöl,erdnussoel
Erdostein,erdostein
Erdrauchkraut,erdrauchkraut
Erenumab,erenumab
Ergocalciferol,ergocalciferol
Ergoloidmesylat,ergoloidmesylat
Ergometrin,ergometrin
Ergotamin,ergotamin
"Ergotamin, Kombinationen exkl. Psycholeptika",ergotamin psycholeptika
Eribulin,eribulin
Erlotinib,erlotinib
Ertapenem,ertapenem
Ertugliflozin,ertugliflozin
Erythrityltetranitrat,erythrityltetranitrat
Erythromycin,erythromycin
Erythromycinstinoprat,erythromycinstinoprat
Erythropoietin,erythropoietin
Erythrozyten,erythrozyten
Erythrozyten ohne Pharmazentralnummer,erythrozyten pharmazentralnummer
Escherichia coli,escherichia coli
"Escherichia coli, Stamm Nissle 1917",escherichia coli stamm nissle
Escitalopram,escitalopram
Esflurbiprofen,esflurbiprofen
Esketamin,esketamin
Eslicarbazepin,eslicarbazepin
Esmolol,esmolol
Esomeprazol,esomeprazol
"Esomeprazol, Amoxicillin und Clarithromycin",esomeprazol amoxicillin clarithromycin
Essigsäure,essigsaeure
Estazolam,estazolam
Estradiol,estradiol
Estramustin,estramustin
Estriol,estriol
Estron,estron
Eszopiclon,eszopiclon
Etacrynsäure,etacrynsaeure
Etafenon,etafenon
Etallobarbital,etallobarbital
Etamiphyllin,etamiphyllin
Etamiphyllin und Sympathomimetika,etamiphyllin sympathomimetika
Etamivan,etamivan
Etamsylat,etamsylat
Etanautin,etanautin
Etanercept,etanercept
Etelcalcetid,etelcalcetid
Eteplirsen,eteplirsen
Ethacizin,ethacizin
Ethacridinlactat,ethacridinlactat
Ethadion,ethadion
Ethambutol,ethambutol
Ethambutol und Isoniazid,ethambutol isoniazid
Ethanol,ethanol
Ethaverin in Kombination mit anderen Mitteln,ethaverin kombination mitteln
"Ethaverin, Kombinationen",ethaverin
Ethaverin und Analgetika,ethaverin analgetika
Ethchlorvynol,ethchlorvynol
Ethenzamid,ethenzamid
"Ethenzamid, Kombinationen exkl. Psycholeptika",ethenzamid psycholeptika
Ethinylestradiol,ethinylestradiol
Ethionamid,ethionamid
Ethisteron,ethisteron
Ethisteron und Estrogen,ethisteron estrogen
Ethosuximid,ethosuximid
Ethotoin,ethotoin
Ethulose,ethulose
Ethylbenzhydramin,ethylbenzhydramin
Ethylbiscoumacetat,ethylbiscoumacetat
Ethylchlorid,ethylchlorid
Ethylester iodierter Fettsäuren,ethylester iodierter fettsaeuren
Ethylestrenol,ethylestrenol
Ethylhydroxybenzoat,ethylhydroxybenzoat
Ethyllinolat,ethyllinolat
Ethylloflazepat,ethylloflazepat
Ethylmorphin,ethylmorphin
Etidocain,etidocain
Etidronsäure,etidronsaeure
"Etidronsäure und Calcium, Sequenzialpräparate",etidronsaeure calcium sequenzialpraeparate
Etifoxin,etifoxin
Etilamfetamin,etilamfetamin
Etilefrin,etilefrin
Etilevodopa und Decarboxylasehemmer,etilevodopa decarboxylasehemmer
Etirinotecan pegol,etirinotecan pegol
Etizolam,etizolam
Etodolac,etodolac
Etofamid,etofamid
Etofenamat,etofenamat
Etofibrat,etofibrat
"Etofyllin, Kombinationen",etofyllin
"Etofyllin, Kombinationen mit Psycholeptika",etofyllin psycholeptika
Etofyllin und Sympathomimetika,etofyllin sympathomimetika
Etofyllinclofibrat,etofyllinclofibrat
Etofyllinnicotinat,etofyllinnicotinat
Etoglucid,etoglucid
Etohexadiol,etohexadiol
Etoloxamin,etoloxamin
Etomidat,etomidat
Etonogestrel,etonogestrel
Etoperidon,etoperidon
Etoposid,etoposid
Etoricoxib,etoricoxib
Etozolin,etozolin
Etranacogen dezaparvovec,etranacogen dezaparvovec
Etrasimod,etrasimod
Etravirin,etravirin
Etretinat,etretinat
Etripamil,etripamil
Etybenzatropin,etybenzatropin
Etynodiol,etynodiol
Etynodiol und Estrogen,etynodiol estrogen
Etynodiol und Ethinylestradiol,etynodiol ethinylestradiol
Euflavin,euflavin
Eugenol,eugenol
Eukalyptusöl,eukalyptusoel
Euphrasia,euphrasia
Everolimus,everolimus
Evinacumab,evinacumab
Evocalcet,evocalcet
Evogliptin,evogliptin
Evolocumab,evolocumab
Exagamglogen autotemcel,exagamglogen autotemcel
Exemestan,exemestan
Exenatid,exenatid
Ezetimib,ezetimib
Fabomotizol,fabomotizol
Faktor-VIII-Inhibitor-bypass-Aktivität,faktor viii inhibitor bypass aktivitaet
Faldaprevir,faldaprevir
Famciclovir,famciclovir
Famotidin,famotidin
Fampridin,fampridin
Fango,fango
Faricimab,faricimab
Faropenem,faropenem
Fasudil,fasudil
"Faulbaumrinde, Kombinationen",faulbaumrinde
Favipiravir,favipiravir
Fazadiniumbromid,fazadiniumbromid
Febarbamat,febarbamat
Febuprol,febuprol
Febuxostat,febuxostat
Federn,federn
Fedratinib,fedratinib
Fedrilat,fedrilat
Felbamat,felbamat
Felbinac,felbinac
Felodipin,felodipin
Fenbendazol,fenbendazol
Fenbufen,fenbufen
Fencamfamin,fencamfamin
